prompt,answer_token,predicted_top1_token
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fragen ist", frag, gef
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fragen ist",te,rag
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von glauben ist", gl, geg
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von glauben ist",aub,la
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von glauben ist",te,ub
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von brechen ist", br, geb
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von brechen ist",ach,ro
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von bringen ist", br, ge
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von bringen ist",achte,bracht
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von bauen ist", ba, geb
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von bauen ist",ute,aut
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von rufen ist", r, ger
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von rufen ist",ief,ufen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fangen ist", fing, beg
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von ändern ist", ä, ge
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von ändern ist",nd,änd
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von ändern ist",erte,ert
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von wählen ist", w, gew
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von wählen ist",ähl,ählt
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von wählen ist",te,".
"
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von putzen ist", put, gep
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von putzen ist",zte,f
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von klettern ist", k, gek
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von klettern ist",letter,letter
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von klettern ist",te,t
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schließen ist", sch, gesch
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schließen ist",loss,lossen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von kommen ist", kam, gek
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von weinen ist", we, gew
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von weinen ist",inte,e
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schneiden ist", schn, ges
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schneiden ist",itt,chn
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von tanzen ist", t, get
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von tanzen ist",anz,an
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von tanzen ist",te,zt
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von entscheiden ist", ents, ents
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von entscheiden ist",chied,chied
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von tun ist", tat, get
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fahren ist", fu, gef
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fahren ist",hr,ahren
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von trinken ist", tr, get
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von trinken ist",ank,run
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von essen ist", a, geg
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von essen ist",ß,essen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fallen ist", fi, gef
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fallen ist",el,allen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von beenden ist", be, be
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von beenden ist",end,end
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von beenden ist",ete,ete
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von finden ist", f, gefunden
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von finden ist",and,".
"
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fliegen ist", f, gef
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von fliegen ist",log,logen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von folgen ist", fol, gef
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von folgen ist",gte,ol
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von vergessen ist", verg, verg
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von vergessen ist",a,essen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von vergessen ist",ß,".
"
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von murren ist", m, gem
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von murren ist",urr,ur
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von murren ist",te,rt
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von bekommen ist", bek, bekommen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von bekommen ist",am,".
"
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von geben ist", gab, ge
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von gehen ist", ging, geg
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von hassen ist", has, geh
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von hassen ist",ste,as
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von haben ist", hatte, hatte
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von hören ist", h, gehört
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von hören ist",ör,".
"
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von hören ist",te,Die
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von helfen ist", half, geh
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schlagen ist", sch, gesch
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schlagen ist",lug,lagen
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von springen ist", spr, ges
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von springen ist",ang,pr
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von wissen ist", w, gew
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von wissen ist",us,us
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von wissen ist",ste,st
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von lachen ist", l, gel
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von lachen ist",achte,acht
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von lernen ist", ler, g
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von lernen ist",nte,eler
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von verlassen ist", ver, ver
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von verlassen ist",ließ,ließ
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von mögen ist", mo, gem
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von mögen ist",chte,ocht
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von leben ist", le, gele
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von leben ist",b,bt
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von leben ist",te,".
"
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schauen ist", sch, gesch
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schauen ist",a,aut
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von schauen ist",ute,".
"
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von verlieren ist", ver, ver
"Die Vergangenheitsform von starten ist startete.
Die Vergangenheitsform von verlieren ist",lor,lo
