prompt,answer_token,predicted_top1_token
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Brian Johnson es el/la cantante principal de", AC, AC
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Brian Johnson es el/la cantante principal de",/,/
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Brian Johnson es el/la cantante principal de",DC,DC
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Steven Tyler es el/la cantante principal de", Aeros, Aeros
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Steven Tyler es el/la cantante principal de",mith,mith
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Chris Martin es el/la cantante principal de", Cold, Cold
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Chris Martin es el/la cantante principal de",play,play
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Dave Grohl es el/la cantante principal de", Foo, Foo
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Dave Grohl es el/la cantante principal de", Fighters, Fighters
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Axl Rose es el/la cantante principal de", Guns, Guns
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Axl Rose es el/la cantante principal de", N, N
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Axl Rose es el/la cantante principal de",','
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Axl Rose es el/la cantante principal de", Roses, Roses
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Robert Plant es el/la cantante principal de", Led, Led
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Robert Plant es el/la cantante principal de", Ze, Ze
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Robert Plant es el/la cantante principal de",ppelin,ppelin
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
James Hetfield es el/la cantante principal de", Metal, Metal
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
James Hetfield es el/la cantante principal de",lica,lica
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Kurt Cobain es el/la cantante principal de", Nir, Nir
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Kurt Cobain es el/la cantante principal de",vana,vana
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Freddie Mercury es el/la cantante principal de", Queen, Queen
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Anthony Kiedis es el/la cantante principal de", Red, Red
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Anthony Kiedis es el/la cantante principal de", Hot, Hot
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Anthony Kiedis es el/la cantante principal de", Chili, Chili
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Anthony Kiedis es el/la cantante principal de", Pe, Pe
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Anthony Kiedis es el/la cantante principal de",ppers,ppers
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Mick Jagger es el/la cantante principal de", The, The
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Mick Jagger es el/la cantante principal de", Rolling, Rolling
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Mick Jagger es el/la cantante principal de", Stones, Stones
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
John Lennon es el/la cantante principal de", The, The
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
John Lennon es el/la cantante principal de", Beatles, Beatles
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Jim Morrison es el/la cantante principal de", The, The
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Jim Morrison es el/la cantante principal de", Doors, Doors
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Bono es el/la cantante principal de", U, U
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Bono es el/la cantante principal de",2,2
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Ozzy Osbourne es el/la cantante principal de", Black, Oz
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Ozzy Osbourne es el/la cantante principal de", Sabbath,zy
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Billie Joe Armstrong es el/la cantante principal de", Green, Green
"Hayley Williams es el/la cantante principal de Paramore.
Brandon Flowers es el/la cantante principal de The Killers.
Debbie Harry es el/la cantante principal de Blondie.
Thom Yorke es el/la cantante principal de Radiohead.
Billie Joe Armstrong es el/la cantante principal de", Day, Day
