prompt,answer_token,predicted_top1_token
O arqui-inimigo do super-herói Superman é, Lex, o
O arqui-inimigo do super-herói Superman é, L, alien
O arqui-inimigo do super-herói Superman é,uthor, K
O arqui-inimigo do super-herói Batman é, The, o
O arqui-inimigo do super-herói Batman é, Joker, vil
O arqui-inimigo do super-herói Wonder Woman é, C, o
O arqui-inimigo do super-herói Wonder Woman é,heet, general
O arqui-inimigo do super-herói Wonder Woman é,ah, Er
O arqui-inimigo do super-herói Spider-Man é, Green, um
O arqui-inimigo do super-herói Spider-Man é, Goblin, dos
O arqui-inimigo do super-herói The Flash é, Reverse, o
O arqui-inimigo do super-herói The Flash é,-, vil
O arqui-inimigo do super-herói The Flash é,Flash,ão
O arqui-inimigo do super-herói Green Lantern é, Sin, um
O arqui-inimigo do super-herói Green Lantern é,estro, dos
O arqui-inimigo do super-herói Captain America é, Red, o
O arqui-inimigo do super-herói Captain America é, Skull, líder
O arqui-inimigo do super-herói Iron Man é, The, o
O arqui-inimigo do super-herói Iron Man é, Mandarin, sen
O arqui-inimigo do super-herói Thor é, Loki, um
O arqui-inimigo do super-herói Black Panther é, Kill, o
O arqui-inimigo do super-herói Black Panther é,mong, re
O arqui-inimigo do super-herói Black Panther é,er,i
O arqui-inimigo do super-herói Doctor Strange é, Baron, o
O arqui-inimigo do super-herói Doctor Strange é, M, M
O arqui-inimigo do super-herói Doctor Strange é,ordo,estre
O arqui-inimigo do super-herói Aquaman é, Black, um
O arqui-inimigo do super-herói Aquaman é, M, dos
O arqui-inimigo do super-herói Aquaman é,anta, vil
O arqui-inimigo do super-herói Hawkeye é, Cross, um
O arqui-inimigo do super-herói Hawkeye é,fire, dos
O arqui-inimigo do super-herói Daredevil é, King, um
O arqui-inimigo do super-herói Daredevil é,pin, dos
O arqui-inimigo do super-herói The Hulk é, The, o
O arqui-inimigo do super-herói The Hulk é, Ab, Dr
O arqui-inimigo do super-herói The Hulk é,omination,.
O arqui-inimigo do super-herói Cyclops é, Mister, o
O arqui-inimigo do super-herói Cyclops é, Sin, vil
O arqui-inimigo do super-herói Cyclops é,ister,ão
O arqui-inimigo do super-herói Wolverine é, Sab, um
O arqui-inimigo do super-herói Wolverine é,re, dos
O arqui-inimigo do super-herói Wolverine é,to, vil
O arqui-inimigo do super-herói Wolverine é,oth,ões
O arqui-inimigo do super-herói Ant-Man é, Yellow, o
O arqui-inimigo do super-herói Ant-Man é,j, vil
O arqui-inimigo do super-herói Ant-Man é,acket,ão
O arqui-inimigo do super-herói The Wasp é, Wh, o
O arqui-inimigo do super-herói The Wasp é,irl, vil
O arqui-inimigo do super-herói The Wasp é,wind,ão
O arqui-inimigo do super-herói Captain Marvel é, Y, o
O arqui-inimigo do super-herói Captain Marvel é,on, alien
O arqui-inimigo do super-herói Captain Marvel é,-R, K
O arqui-inimigo do super-herói Captain Marvel é,ogg,ree
O arqui-inimigo do super-herói Deadpool é, T, um
O arqui-inimigo do super-herói Deadpool é,-Ray, dos
O arqui-inimigo do super-herói Nightwing é, Death, um
O arqui-inimigo do super-herói Nightwing é,stroke, dos
O arqui-inimigo do super-herói Batgirl é, James, uma
O arqui-inimigo do super-herói Batgirl é, Gordon, das
O arqui-inimigo do super-herói Batgirl é, Jr, person
O arqui-inimigo do super-herói Batgirl é,.,agens
O arqui-inimigo do super-herói Raven é, Tr, um
O arqui-inimigo do super-herói Raven é,igon, dos
O arqui-inimigo do super-herói Starfire é, Black, um
O arqui-inimigo do super-herói Starfire é,fire, dos
O arqui-inimigo do super-herói Beast Boy é, The, um
O arqui-inimigo do super-herói Beast Boy é, Brain, dos
O arqui-inimigo do super-herói Supergirl é, Reign, o
O arqui-inimigo do super-herói Black Widow é, Task, um
O arqui-inimigo do super-herói Black Widow é,master, dos
O arqui-inimigo do super-herói Silver Surfer é, Gal, um
O arqui-inimigo do super-herói Silver Surfer é,actus, dos
O arqui-inimigo do super-herói Punisher é, J, um
O arqui-inimigo do super-herói Punisher é,igsaw, dos
O arqui-inimigo do super-herói Luke Cage é, Diamond, o
O arqui-inimigo do super-herói Luke Cage é,back, vil
O arqui-inimigo do super-herói Ghost Rider é, M, um
O arqui-inimigo do super-herói Ghost Rider é,ep, dos
O arqui-inimigo do super-herói Ghost Rider é,hist, vil
O arqui-inimigo do super-herói Ghost Rider é,o,ões
O arqui-inimigo do super-herói Jessica Jones é, Kil, o
O arqui-inimigo do super-herói Jessica Jones é,grave, vil
O arqui-inimigo do super-herói Green Arrow é, Malcolm, o
O arqui-inimigo do super-herói Green Arrow é, Mer, vil
O arqui-inimigo do super-herói Green Arrow é,lyn,ão
O arqui-inimigo do super-herói Hawkman é, Shadow, um
O arqui-inimigo do super-herói Hawkman é, Thief, dos
O arqui-inimigo do super-herói Martian Manhunter é, Des, um
O arqui-inimigo do super-herói Martian Manhunter é,per, dos
O arqui-inimigo do super-herói Martian Manhunter é,o, vil
O arqui-inimigo do super-herói Black Canary é, White, um
O arqui-inimigo do super-herói Black Canary é, Canary, dos
O arqui-inimigo do super-herói Storm é, Shadow, um
O arqui-inimigo do super-herói Storm é, King, dos
O arqui-inimigo do super-herói Human Torch é, Doctor, o
O arqui-inimigo do super-herói Human Torch é, Doom, vil
O arqui-inimigo do super-herói Mr. Fantastic é, Doctor, um
O arqui-inimigo do super-herói Mr. Fantastic é, Doom, dos
O arqui-inimigo do super-herói Invisible Woman é, Doctor, o
O arqui-inimigo do super-herói Invisible Woman é, Doom, vil
O arqui-inimigo do super-herói The Thing é, Doctor, um
O arqui-inimigo do super-herói The Thing é, Doom, alien
O arqui-inimigo do super-herói Ms. Marvel é, Myst, um
O arqui-inimigo do super-herói Ms. Marvel é,ique, dos
O arqui-inimigo do super-herói Shazam é, Black, um
O arqui-inimigo do super-herói Shazam é, Adam, dos
O arqui-inimigo do super-herói Blue Beetle é, Maxwell, o
O arqui-inimigo do super-herói Blue Beetle é, Lord, vil
O arqui-inimigo do super-herói Zatanna é, Felix, um
O arqui-inimigo do super-herói Zatanna é, Fa, dos
O arqui-inimigo do super-herói Zatanna é,ust, vil
O arqui-inimigo do super-herói Constantine é, N, um
O arqui-inimigo do super-herói Constantine é,erg, dos
O arqui-inimigo do super-herói Constantine é,al, vil
O arqui-inimigo do super-herói Swamp Thing é, Arc, um
O arqui-inimigo do super-herói Swamp Thing é,ane, dos
O arqui-inimigo do super-herói Robin é, Two, o
O arqui-inimigo do super-herói Robin é,-F, vil
O arqui-inimigo do super-herói Robin é,ace,ão
O arqui-inimigo do super-herói Catwoman é, Black, um
O arqui-inimigo do super-herói Catwoman é, Mask, dos
O arqui-inimigo do super-herói Rorschach é, O, um
O arqui-inimigo do super-herói Rorschach é,zym, dos
O arqui-inimigo do super-herói Rorschach é,and, vil
O arqui-inimigo do super-herói Rorschach é,ias,ões
O arqui-inimigo do super-herói Moon Knight é, Bush, um
O arqui-inimigo do super-herói Moon Knight é,man, dos
O arqui-inimigo do super-herói Hawkgirl é, Shadow, um
O arqui-inimigo do super-herói Hawkgirl é, Thief, dos
O arqui-inimigo do super-herói She-Hulk é, Tit, um
O arqui-inimigo do super-herói She-Hulk é,ania, dos
O arqui-inimigo do super-herói Red Hood é, The, o
O arqui-inimigo do super-herói Red Hood é, Joker, vil
O arqui-inimigo do super-herói Dr. Fate é, W, o
O arqui-inimigo do super-herói Dr. Fate é,ot, vil
O arqui-inimigo do super-herói Dr. Fate é,an,ão
O arqui-inimigo do super-herói Plastic Man é, Dr, um
O arqui-inimigo do super-herói Plastic Man é,., dos
O arqui-inimigo do super-herói Plastic Man é, Dome, vil
O arqui-inimigo do super-herói Scarlet Witch é, Morgan, um
O arqui-inimigo do super-herói Scarlet Witch é, Le, dos
O arqui-inimigo do super-herói Scarlet Witch é, Fay, vil
O arqui-inimigo do super-herói Vision é, Ul, o
O arqui-inimigo do super-herói Vision é,tron, vil
O arqui-inimigo do super-herói Power Girl é, Ultra, um
O arqui-inimigo do super-herói Power Girl é,-H, dos
O arqui-inimigo do super-herói Power Girl é,uman, vil
O arqui-inimigo do super-herói Power Girl é,ite,ões
O arqui-inimigo do super-herói Mystique é, Bishop, um
O arqui-inimigo do super-herói Shadowcat é, White, um
O arqui-inimigo do super-herói Shadowcat é, Queen, dos
O arqui-inimigo do super-herói Colossus é, J, o
O arqui-inimigo do super-herói Colossus é,ugg, vil
O arqui-inimigo do super-herói Colossus é,ernaut,ão
O arqui-inimigo do super-herói Magneto é, Professor, o
O arqui-inimigo do super-herói Magneto é, X, professor
O arqui-inimigo do super-herói Gamora é, Than, um
O arqui-inimigo do super-herói Gamora é,os, dos
O arqui-inimigo do super-herói Groot é, Collector, um
O arqui-inimigo do super-herói Rocket Raccoon é, Collector, um
O arqui-inimigo do super-herói Star-Lord é, Ron, um
O arqui-inimigo do super-herói Star-Lord é,an, dos
O arqui-inimigo do super-herói Star-Lord é, the, vil
O arqui-inimigo do super-herói Star-Lord é, Acc,ões
O arqui-inimigo do super-herói Star-Lord é,user, mais
O arqui-inimigo do super-herói Nick Fury é, Baron, o
O arqui-inimigo do super-herói Nick Fury é, Str, vil
O arqui-inimigo do super-herói Nick Fury é,ucker,ão
O arqui-inimigo do super-herói Black Bolt é, Maxim, o
O arqui-inimigo do super-herói Black Bolt é,us, vil
O arqui-inimigo do super-herói Hellboy é, Gr, um
O arqui-inimigo do super-herói Hellboy é,ig, dos
O arqui-inimigo do super-herói Hellboy é,ori, vil
O arqui-inimigo do super-herói Hellboy é, Ras,ões
O arqui-inimigo do super-herói Hellboy é,put, mais
O arqui-inimigo do super-herói Hellboy é,in, poder
O arqui-inimigo do super-herói Judge Dredd é, Judge, um
O arqui-inimigo do super-herói Judge Dredd é, Death, dos
O arqui-inimigo do super-herói Teenage Mutant Ninja Turtles é, Sh, o
O arqui-inimigo do super-herói Teenage Mutant Ninja Turtles é,redd, vil
O arqui-inimigo do super-herói Teenage Mutant Ninja Turtles é,er,ão
O arqui-inimigo do super-herói Sailor Moon é, Queen, o
O arqui-inimigo do super-herói Sailor Moon é, B, mal
O arqui-inimigo do super-herói Sailor Moon é,eryl,v
O arqui-inimigo do super-herói Astro Boy é, Dr, um
O arqui-inimigo do super-herói Astro Boy é,., dos
O arqui-inimigo do super-herói Astro Boy é, Ten, person
O arqui-inimigo do super-herói Astro Boy é,ma,agens
O arqui-inimigo do super-herói Goku é, F, o
O arqui-inimigo do super-herói Goku é,rie, vil
O arqui-inimigo do super-herói Goku é,za,ão
O arqui-inimigo do super-herói Spawn é, Male, um
O arqui-inimigo do super-herói Spawn é,bol, dos
O arqui-inimigo do super-herói Spawn é,gia, mais
O arqui-inimigo do super-herói Venom é, Carn, um
O arqui-inimigo do super-herói Venom é,age, dos
O arqui-inimigo do super-herói Elektra é, Bull, o
O arqui-inimigo do super-herói Elektra é,sey, assass
O arqui-inimigo do super-herói Elektra é,e,ino
O arqui-inimigo do super-herói Buffy the Vampire Slayer é, The, o
O arqui-inimigo do super-herói Buffy the Vampire Slayer é, Master, vamp
O arqui-inimigo do super-herói RoboCop é, Clarence, um
O arqui-inimigo do super-herói RoboCop é, B, rob
O arqui-inimigo do super-herói RoboCop é,odd,ô
O arqui-inimigo do super-herói RoboCop é,icker, que
O arqui-inimigo do super-herói John Constantine é, First, um
O arqui-inimigo do super-herói John Constantine é, of, dos
O arqui-inimigo do super-herói John Constantine é, the, vil
O arqui-inimigo do super-herói John Constantine é, Fallen,ões
O arqui-inimigo do super-herói The Tick é, Chair, um
O arqui-inimigo do super-herói The Tick é,face, dos
O arqui-inimigo do super-herói The Tick é, Ch, vil
O arqui-inimigo do super-herói The Tick é,ipp,ões
O arqui-inimigo do super-herói The Tick é,endale, mais
O arqui-inimigo do super-herói Blade é, De, um
O arqui-inimigo do super-herói Blade é,acon, dos
O arqui-inimigo do super-herói Blade é, Frost, vil
O arqui-inimigo do super-herói Kick-Ass é, Red, um
O arqui-inimigo do super-herói Kick-Ass é, Mist, dos
O arqui-inimigo do super-herói Xena: Warrior Princess é, Call, uma
O arqui-inimigo do super-herói Xena: Warrior Princess é,isto, person
O arqui-inimigo do super-herói Hercules é, H, o
O arqui-inimigo do super-herói Hercules é,ades, re
O arqui-inimigo do super-herói The Powerpuff Girls é, Mojo, um
O arqui-inimigo do super-herói The Powerpuff Girls é, Jo, person
O arqui-inimigo do super-herói The Powerpuff Girls é,jo,agem
O arqui-inimigo do super-herói Hellcat é, Mad, um
O arqui-inimigo do super-herói Hellcat é, Dog, dos
O arqui-inimigo do super-herói Moon Girl é, Mel, um
O arqui-inimigo do super-herói Moon Girl é,-V, dos
O arqui-inimigo do super-herói Moon Girl é,arr, vil
O arqui-inimigo do super-herói Captain Planet é, Captain, um
O arqui-inimigo do super-herói Captain Planet é, Pollution, dos
O arqui-inimigo do super-herói The Phantom é, The, um
O arqui-inimigo do super-herói The Phantom é, Python, dos
O arqui-inimigo do super-herói Usagi Yojimbo é, Lord, o
O arqui-inimigo do super-herói Usagi Yojimbo é, H, vil
O arqui-inimigo do super-herói Usagi Yojimbo é,ik,ão
O arqui-inimigo do super-herói Usagi Yojimbo é,iji, Sh
O arqui-inimigo do super-herói Kim Possible é, Dr, um
O arqui-inimigo do super-herói Kim Possible é,., vil
O arqui-inimigo do super-herói Kim Possible é, Dr,ão
O arqui-inimigo do super-herói Kim Possible é,ak, que
O arqui-inimigo do super-herói Kim Possible é,ken, usa
O arqui-inimigo do super-herói Ben 10 é, Vil, um
O arqui-inimigo do super-herói Ben 10 é,g, dos
O arqui-inimigo do super-herói Ben 10 é,ax, vil
O arqui-inimigo do super-herói Scooby-Doo é, Ghost, o
O arqui-inimigo do super-herói Scooby-Doo é, Clown, vil
