prompt,answer_token,predicted_top1_token
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
प्रेमपूर्ण का विपरीत", घ, व
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
प्रेमपूर्ण का विपरीत",ृ,िर
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
प्रेमपूर्ण का विपरीत",ण,ोध
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
प्रेमपूर्ण का विपरीत",ास,ी
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
प्रेमपूर्ण का विपरीत",्प,".
"
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
प्रेमपूर्ण का विपरीत",द,स
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
रचनात्मक का विपरीत", व, न
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
रचनात्मक का विपरीत",िन,िर
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
रचनात्मक का विपरीत",ाश,र
"साफ़-सुथरा का विपरीत लापरवाह.
शांतिपूर्ण का विपरीत शोरगुल.
दृश्यमान का विपरीत अस्पष्ट.
मीठा का विपरीत कड़वा.
उज्ज्वल का विपरीत अंधेरा.
मज़बूत का विपरीत नाज़ुक.
आधुनिक का विपरीत प्राचीन.
रचनात्मक का विपरीत",क,चन
