prompt,answer_token,predicted_top1_token
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di arrabbiato è", il, arr
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di arrabbiato è", più,ab
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di arrabbiato è", arr,bi
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di arrabbiato è",ab,at
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di arrabbiato è",bi,iss
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di arrabbiato è",ato,imo
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di cattivo è", il, c
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di cattivo è", peg,att
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di cattivo è",gi,iv
"La forma superlativa di antico è antichissimo.
La forma superlativa di efficiente è efficientissimo.
La forma superlativa di bizzarro è bizarrissimo.
La forma superlativa di popolare è popolarissimo.
La forma superlativa di astuto è astutissimo.
La forma superlativa di costoso è costosissimo.
La forma superlativa di strano è stranissimo.
La forma superlativa di interessante è interessantissimo.
La forma superlativa di abbronzato è abbronzatissimo.
La forma superlativa di pericoloso è pericolosissimo.
La forma superlativa di cattivo è",ore,iss
