prompt,answer_token,predicted_top1_token
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de États-Unis est le/la", dollar, Dollar
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de États-Unis est le/la", am,".
"
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de États-Unis est le/la",éric,La
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de États-Unis est le/la",ain, mon
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Royaume-Uni est le/la", livre, Pound
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Royaume-Uni est le/la", sterling, Sterling
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Japon est le/la", Yen, Yen
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Canada est le/la", dollar, Dollar
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Australie est le/la", dollar, Dollar
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Inde est le/la", r, Ru
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Inde est le/la",oup,pee
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Inde est le/la",ie,".
"
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Inde est le/la", ind,La
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Inde est le/la",ienne, mon
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Russie est le/la", r, Rub
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Russie est le/la",ouble,le
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Russie est le/la", russe,".
"
"La monnaie officielle de Égypte est le/la livre.
La monnaie officielle de Viêt Nam est le/la Dong.
La monnaie officielle de Mexique est le/la", peso, P
