prompt,answer_token,predicted_top1_token
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Brian Johnson ist der/die Leadsänger/in von", AC, AC
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Brian Johnson ist der/die Leadsänger/in von",/,/
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Brian Johnson ist der/die Leadsänger/in von",DC,DC
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Steven Tyler ist der/die Leadsänger/in von", Aeros, Aeros
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Steven Tyler ist der/die Leadsänger/in von",mith,mith
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Chris Martin ist der/die Leadsänger/in von", Cold, Cold
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Chris Martin ist der/die Leadsänger/in von",play,play
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Dave Grohl ist der/die Leadsänger/in von", Foo, Foo
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Dave Grohl ist der/die Leadsänger/in von", Fighters, Fighters
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Axl Rose ist der/die Leadsänger/in von", Guns, Guns
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Axl Rose ist der/die Leadsänger/in von", N, N
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Axl Rose ist der/die Leadsänger/in von",','
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Axl Rose ist der/die Leadsänger/in von", Roses, Roses
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Robert Plant ist der/die Leadsänger/in von", Led, Led
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Robert Plant ist der/die Leadsänger/in von", Ze, Ze
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Robert Plant ist der/die Leadsänger/in von",ppelin,ppelin
"Hayley Williams ist der/die Leadsänger/in von Paramore.
James Hetfield ist der/die Leadsänger/in von", Metal, Metal
"Hayley Williams ist der/die Leadsänger/in von Paramore.
James Hetfield ist der/die Leadsänger/in von",lica,lica
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Kurt Cobain ist der/die Leadsänger/in von", Nir, Nir
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Kurt Cobain ist der/die Leadsänger/in von",vana,vana
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Freddie Mercury ist der/die Leadsänger/in von", Queen, Queen
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Anthony Kiedis ist der/die Leadsänger/in von", Red, Red
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Anthony Kiedis ist der/die Leadsänger/in von", Hot, Hot
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Anthony Kiedis ist der/die Leadsänger/in von", Chili, Chili
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Anthony Kiedis ist der/die Leadsänger/in von", Pe, Pe
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Anthony Kiedis ist der/die Leadsänger/in von",ppers,ppers
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Mick Jagger ist der/die Leadsänger/in von", The, The
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Mick Jagger ist der/die Leadsänger/in von", Rolling, Rolling
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Mick Jagger ist der/die Leadsänger/in von", Stones, Stones
"Hayley Williams ist der/die Leadsänger/in von Paramore.
John Lennon ist der/die Leadsänger/in von", The, The
"Hayley Williams ist der/die Leadsänger/in von Paramore.
John Lennon ist der/die Leadsänger/in von", Beatles, Beatles
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Jim Morrison ist der/die Leadsänger/in von", The, The
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Jim Morrison ist der/die Leadsänger/in von", Doors, Doors
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Bono ist der/die Leadsänger/in von", U, U
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Bono ist der/die Leadsänger/in von",2,2
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Ozzy Osbourne ist der/die Leadsänger/in von", Black, Oz
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Ozzy Osbourne ist der/die Leadsänger/in von", Sabbath,zy
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Billie Joe Armstrong ist der/die Leadsänger/in von", Green, Green
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Billie Joe Armstrong ist der/die Leadsänger/in von", Day, Day
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Eddie Vedder ist der/die Leadsänger/in von", Pearl, Pearl
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Eddie Vedder ist der/die Leadsänger/in von", Jam, Jam
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Jon Bon Jovi ist der/die Leadsänger/in von", Bon, Bon
"Hayley Williams ist der/die Leadsänger/in von Paramore.
Jon Bon Jovi ist der/die Leadsänger/in von", J, J
