prompt,answer_token,predicted_top1_token
"Dwight David Eisenhower a été élu(e) en 1952.
John Adams a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
John Adams a été élu(e) en",179,179
"Dwight David Eisenhower a été élu(e) en 1952.
John Adams a été élu(e) en",6,6
"Dwight David Eisenhower a été élu(e) en 1952.
Thomas Jefferson a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Thomas Jefferson a été élu(e) en",180,180
"Dwight David Eisenhower a été élu(e) en 1952.
Thomas Jefferson a été élu(e) en",0,1
"Dwight David Eisenhower a été élu(e) en 1952.
James Madison a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
James Madison a été élu(e) en",180,178
"Dwight David Eisenhower a été élu(e) en 1952.
James Madison a été élu(e) en",8,9
"Dwight David Eisenhower a été élu(e) en 1952.
James Monroe a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
James Monroe a été élu(e) en",181,181
"Dwight David Eisenhower a été élu(e) en 1952.
James Monroe a été élu(e) en",6,6
"Dwight David Eisenhower a été élu(e) en 1952.
John Quincy Adams a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
John Quincy Adams a été élu(e) en",182,182
"Dwight David Eisenhower a été élu(e) en 1952.
John Quincy Adams a été élu(e) en",4,4
"Dwight David Eisenhower a été élu(e) en 1952.
Andrew Jackson a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Andrew Jackson a été élu(e) en",182,182
"Dwight David Eisenhower a été élu(e) en 1952.
Andrew Jackson a été élu(e) en",8,8
"Dwight David Eisenhower a été élu(e) en 1952.
Martin Van Buren a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Martin Van Buren a été élu(e) en",183,183
"Dwight David Eisenhower a été élu(e) en 1952.
Martin Van Buren a été élu(e) en",6,6
"Dwight David Eisenhower a été élu(e) en 1952.
William Henry Harrison a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
William Henry Harrison a été élu(e) en",184,184
"Dwight David Eisenhower a été élu(e) en 1952.
William Henry Harrison a été élu(e) en",0,0
"Dwight David Eisenhower a été élu(e) en 1952.
Richard M. Nixon a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Richard M. Nixon a été élu(e) en",196,196
"Dwight David Eisenhower a été élu(e) en 1952.
Richard M. Nixon a été élu(e) en",8,8
"Dwight David Eisenhower a été élu(e) en 1952.
John F. Kennedy a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
John F. Kennedy a été élu(e) en",196,196
"Dwight David Eisenhower a été élu(e) en 1952.
John F. Kennedy a été élu(e) en",0,0
"Dwight David Eisenhower a été élu(e) en 1952.
Richard Nixon a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Richard Nixon a été élu(e) en",196,196
"Dwight David Eisenhower a été élu(e) en 1952.
Richard Nixon a été élu(e) en",8,8
"Dwight David Eisenhower a été élu(e) en 1952.
Bill Clinton a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Bill Clinton a été élu(e) en",199,199
"Dwight David Eisenhower a été élu(e) en 1952.
Bill Clinton a été élu(e) en",2,2
"Dwight David Eisenhower a été élu(e) en 1952.
George W. Bush a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
George W. Bush a été élu(e) en",200,200
"Dwight David Eisenhower a été élu(e) en 1952.
George W. Bush a été élu(e) en",0,0
"Dwight David Eisenhower a été élu(e) en 1952.
Barack Obama a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Barack Obama a été élu(e) en",200,200
"Dwight David Eisenhower a été élu(e) en 1952.
Barack Obama a été élu(e) en",8,8
"Dwight David Eisenhower a été élu(e) en 1952.
Jimmy Carter a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Jimmy Carter a été élu(e) en",197,197
"Dwight David Eisenhower a été élu(e) en 1952.
Jimmy Carter a été élu(e) en",6,6
"Dwight David Eisenhower a été élu(e) en 1952.
Ronald Reagan a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Ronald Reagan a été élu(e) en",198,198
"Dwight David Eisenhower a été élu(e) en 1952.
Ronald Reagan a été élu(e) en",0,0
"Dwight David Eisenhower a été élu(e) en 1952.
George H. W. Bush a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
George H. W. Bush a été élu(e) en",198,198
"Dwight David Eisenhower a été élu(e) en 1952.
George H. W. Bush a été élu(e) en",8,8
"Dwight David Eisenhower a été élu(e) en 1952.
Joe Biden a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Joe Biden a été élu(e) en",202,200
"Dwight David Eisenhower a été élu(e) en 1952.
Joe Biden a été élu(e) en",0,8
"Dwight David Eisenhower a été élu(e) en 1952.
Franklin D. Roosevelt a été élu(e) en", , 
"Dwight David Eisenhower a été élu(e) en 1952.
Franklin D. Roosevelt a été élu(e) en",193,193
"Dwight David Eisenhower a été élu(e) en 1952.
Franklin D. Roosevelt a été élu(e) en",2,2
