prompt,answer_token,predicted_top1_token
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
พิซซา มาจากประเทศ", ประเทศ, ประเทศ
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
พิซซา มาจากประเทศ",อ,อ
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
พิซซา มาจากประเทศ",ิต,ิต
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
พิซซา มาจากประเทศ",าล,าล
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
พิซซา มาจากประเทศ",ี,ี
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ซูชิ มาจากประเทศ", ประเทศ, ประเทศ
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ซูชิ มาจากประเทศ",ญ,ญ
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ซูชิ มาจากประเทศ",ี่,ี่
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ซูชิ มาจากประเทศ",ป,ป
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ซูชิ มาจากประเทศ",ุ่,ุ่
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ซูชิ มาจากประเทศ",น,น
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ตาโก มาจากประเทศ", ประเทศ, ประเทศ
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ตาโก มาจากประเทศ",เม,อ
"ซูฟลากี มาจากประเทศ ประเทศกรีซ.
ราตาตูย มาจากประเทศ ประเทศฝรั่งเศส.
เคบับ มาจากประเทศ ประเทศตุรกี.
คาชาปูรี มาจากประเทศ ประเทศจอร์เจีย.
บรีกาเดย์รู มาจากประเทศ ประเทศบราซิล.
ตาโก มาจากประเทศ",็กซ,ิต
