prompt,answer_token,predicted_top1_token
"Kindle wurde erschaffen von Amazon.
Platform Controller Hub wurde erschaffen von", Intel, Amazon
"Kindle wurde erschaffen von Amazon.
Shahab-2 wurde erschaffen von", Iran, Iran
"Kindle wurde erschaffen von Amazon.
Infiniti QX wurde erschaffen von", Nissan, Inf
"Kindle wurde erschaffen von Amazon.
iPhone 5 wurde erschaffen von", Apple, Apple
"Kindle wurde erschaffen von Amazon.
Wii Balance Board wurde erschaffen von", Nintendo, Nintendo
"Kindle wurde erschaffen von Amazon.
Acura TL wurde erschaffen von", Honda, Honda
"Kindle wurde erschaffen von Amazon.
Lancia 037 wurde erschaffen von", Fiat, L
"Kindle wurde erschaffen von Amazon.
Windows Server 2003 wurde erschaffen von", Microsoft, Microsoft
"Kindle wurde erschaffen von Amazon.
DualShock wurde erschaffen von", Sony, Sony
"Kindle wurde erschaffen von Amazon.
Mac Pro wurde erschaffen von", Apple, Apple
"Kindle wurde erschaffen von Amazon.
Game Boy Advance SP wurde erschaffen von", Nintendo, Nintendo
"Kindle wurde erschaffen von Amazon.
Squad 51 wurde erschaffen von", Dodge, der
"Kindle wurde erschaffen von Amazon.
PGM-19 Jupiter wurde erschaffen von", Chrysler, General
"Kindle wurde erschaffen von Amazon.
Prince R380 wurde erschaffen von", Nissan, Amazon
"Kindle wurde erschaffen von Amazon.
Monomail wurde erschaffen von", Boeing, Mon
"Kindle wurde erschaffen von Amazon.
Geo Metro wurde erschaffen von", Suzuki, Suzuki
"Kindle wurde erschaffen von Amazon.
Shahab-1 wurde erschaffen von", Iran, Shah
"Kindle wurde erschaffen von Amazon.
PowerFlite wurde erschaffen von", Chrysler, Chrysler
"Kindle wurde erschaffen von Amazon.
DC-3 wurde erschaffen von", Douglas, Douglas
"Kindle wurde erschaffen von Amazon.
Kindle Fire wurde erschaffen von", Amazon, Amazon
"Kindle wurde erschaffen von Amazon.
AGM-86 ALCM wurde erschaffen von", Boeing, Boeing
"Kindle wurde erschaffen von Amazon.
Autobianchi Y10 wurde erschaffen von", Fiat, Aut
"Kindle wurde erschaffen von Amazon.
Mini E wurde erschaffen von", BMW, Amazon
"Kindle wurde erschaffen von Amazon.
Isetta wurde erschaffen von", BMW, Pi
"Kindle wurde erschaffen von Amazon.
Datsun Sports wurde erschaffen von", Nissan, Nissan
"Kindle wurde erschaffen von Amazon.
Acura ILX wurde erschaffen von", Honda, A
