prompt,answer_token,predicted_top1_token
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Brian Johnson è il/la cantante principale di", AC, AC
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Brian Johnson è il/la cantante principale di",/,/
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Brian Johnson è il/la cantante principale di",DC,DC
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Steven Tyler è il/la cantante principale di", Aeros, Aeros
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Steven Tyler è il/la cantante principale di",mith,mith
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Chris Martin è il/la cantante principale di", Cold, Cold
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Chris Martin è il/la cantante principale di",play,play
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Dave Grohl è il/la cantante principale di", Foo, Foo
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Dave Grohl è il/la cantante principale di", Fighters, Fighters
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Axl Rose è il/la cantante principale di", Guns, Guns
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Axl Rose è il/la cantante principale di", N, N
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Axl Rose è il/la cantante principale di",','
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Axl Rose è il/la cantante principale di", Roses, Roses
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Robert Plant è il/la cantante principale di", Led, Led
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Robert Plant è il/la cantante principale di", Ze, Ze
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Robert Plant è il/la cantante principale di",ppelin,ppelin
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
James Hetfield è il/la cantante principale di", Metal, Metal
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
James Hetfield è il/la cantante principale di",lica,lica
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Kurt Cobain è il/la cantante principale di", Nir, Nir
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Kurt Cobain è il/la cantante principale di",vana,vana
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Freddie Mercury è il/la cantante principale di", Queen, Queen
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Anthony Kiedis è il/la cantante principale di", Red, Red
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Anthony Kiedis è il/la cantante principale di", Hot, Hot
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Anthony Kiedis è il/la cantante principale di", Chili, Chili
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Anthony Kiedis è il/la cantante principale di", Pe, Pe
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Anthony Kiedis è il/la cantante principale di",ppers,ppers
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Mick Jagger è il/la cantante principale di", The, The
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Mick Jagger è il/la cantante principale di", Rolling, Rolling
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
Mick Jagger è il/la cantante principale di", Stones, Stones
"Hayley Williams è il/la cantante principale di Paramore.
Brandon Flowers è il/la cantante principale di The Killers.
Debbie Harry è il/la cantante principale di Blondie.
John Lennon è il/la cantante principale di", The, The
