prompt,answer_token,predicted_top1_token
La capital de Estados Unidos es, Washington, Washington
La capital de Estados Unidos es, D, D
La capital de Estados Unidos es,.,.C
La capital de Estados Unidos es, C,.
La capital de Estados Unidos es,., y
La capital de Canadá es, Ottawa, Ottawa
La capital de México es, Ciudad, la
La capital de México es, de, ciudad
La capital de México es, México, más
La capital de Argentina es, Buenos, Buenos
La capital de Argentina es, Aires, Aires
La capital de Chile es, Santiago, Santiago
La capital de Chile es, de,","
La capital de Chile es, Chile, la
La capital de Perú es, Lima, Lima
La capital de Venezuela es, Car, Car
La capital de Venezuela es,acas,acas
La capital de España es, Madrid, Madrid
La capital de Francia es, Par, Par
La capital de Francia es,ís,ís
La capital de Alemania es, Ber, Ber
La capital de Alemania es,lín,lín
La capital de Italia es, Roma, Roma
La capital de Rusia es, Mos, Mos
La capital de Rusia es,c,cou
La capital de Rusia es,ú,","
La capital de República Popular China es, Pek, la
La capital de República Popular China es,ín, ciudad
La capital de Japón es, Tok, la
La capital de Japón es,io, ciudad
La capital de Corea del Sur es, Se, la
La capital de Corea del Sur es,ú, ciudad
La capital de Corea del Sur es,l, de
La capital de India es, N, la
La capital de India es,ueva, ciudad
La capital de India es, Delhi, de
La capital de Pakistán es, Islamabad, Islamabad
La capital de Nigeria es, Ab, Lagos
La capital de Nigeria es,uya,","
La capital de Egipto es, El, la
La capital de Egipto es, Cairo, ciudad
La capital de Arabia Saudí es, Ri, la
La capital de Arabia Saudí es,ad, ciudad
La capital de Turquía es, Ankara, la
La capital de Australia es, Canberra, Sydney
