prompt,answer_token,predicted_top1_token
Nueva York se encuentra en el país, Estados, de
Nueva York se encuentra en el país, Unidos, Estados
Río de Janeiro se encuentra en el país, Brasil, de
Buenos Aires se encuentra en el país, Argentina, de
Ciudad de México se encuentra en el país, México, de
São Paulo se encuentra en el país, Brasil, de
Los Ángeles se encuentra en el país, Estados, de
Los Ángeles se encuentra en el país, Unidos, los
San Petersburgo se encuentra en el país, Rus, de
San Petersburgo se encuentra en el país,ia, Rus
San Francisco se encuentra en el país, Estados, de
San Francisco se encuentra en el país, Unidos, Estados
Ciudad Ho Chi Minh se encuentra en el país, Vietnam, de
Kuala Lumpur se encuentra en el país, Mal, de
Kuala Lumpur se encuentra en el país,asia, Mal
Abu Dhabi se encuentra en el país, Em, de
Abu Dhabi se encuentra en el país,ir, los
Abu Dhabi se encuentra en el país,atos, Em
Abu Dhabi se encuentra en el país, Á,ir
Abu Dhabi se encuentra en el país,rab,atos
Abu Dhabi se encuentra en el país,es, Á
Abu Dhabi se encuentra en el país, Unidos,rab
Ciudad del Cabo se encuentra en el país, Sud, de
Ciudad del Cabo se encuentra en el país,á, Sud
Ciudad del Cabo se encuentra en el país,frica,á
Nueva Delhi se encuentra en el país, India, de
Las Vegas se encuentra en el país, Estados, de
Las Vegas se encuentra en el país, Unidos, Estados
Hong Kong se encuentra en el país, China, asi
Tel Aviv se encuentra en el país, Israel, de
Johannesburgo se encuentra en el país, Sud, más
Johannesburgo se encuentra en el país,á, grande
Johannesburgo se encuentra en el país,frica, de
Santo Domingo se encuentra en el país, Rep, de
Santo Domingo se encuentra en el país,ública, Santo
Santo Domingo se encuentra en el país, Dominic, Doming
Santo Domingo se encuentra en el país,ana,o
Puerto Príncipe se encuentra en el país, Hait, de
Puerto Príncipe se encuentra en el país,í, Hait
Santiago de Chile se encuentra en el país, Chile, de
Ciudad de Panamá se encuentra en el país, Pan, de
Ciudad de Panamá se encuentra en el país,am, Pan
Ciudad de Panamá se encuentra en el país,á,am
Siem Riep se encuentra en el país, Cam, de
Siem Riep se encuentra en el país,bo, Cam
Siem Riep se encuentra en el país,ya,bo
Casablanca se encuentra en el país, Marr, de
Casablanca se encuentra en el país,ue, Marr
Casablanca se encuentra en el país,cos,ue
San Juan se encuentra en el país, Puerto, de
San Juan se encuentra en el país, Rico, Puerto
Costa Rica se encuentra en el país, San, de
Costa Rica se encuentra en el país, José, América
Adís Abeba se encuentra en el país, E, afr
Adís Abeba se encuentra en el país,ti,ic
Adís Abeba se encuentra en el país,op,ano
Adís Abeba se encuentra en el país,ía, de
Punta Cana se encuentra en el país, Rep, de
Punta Cana se encuentra en el país,ública, Rep
Punta Cana se encuentra en el país, Dominic,ública
Punta Cana se encuentra en el país,ana, Dominic
