prompt,answer_token,predicted_top1_token
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
คริส มาร์ติน เป็นนักร้องนำของ", โ, เด
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
คริส มาร์ติน เป็นนักร้องนำของ",คล,อะ
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
คริส มาร์ติน เป็นนักร้องนำของ",ด,บ
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
คริส มาร์ติน เป็นนักร้องนำของ",์,อย
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
คริส มาร์ติน เป็นนักร้องนำของ",เพล,ด
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
คริส มาร์ติน เป็นนักร้องนำของ",ย,์
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
คริส มาร์ติน เป็นนักร้องนำของ",์,".
"
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
เดฟ โกรล เป็นนักร้องนำของ", ฟ, เด
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
เดฟ โกรล เป็นนักร้องนำของ",ู,อะ
"เฮย์ลีย์ วิลเลียมส์ เป็นนักร้องนำของ พารามอร์.
แบรนดอน ฟลาวเวอร์ส เป็นนักร้องนำของ เดอะคิลเลอส์.
เด็บบี แฮร์รี เป็นนักร้องนำของ บลอนดี.
ทอม ยอร์ก เป็นนักร้องนำของ เรดิโอเฮด.
เอมี ลี เป็นนักร้องนำของ อีวาเนสเซนส์.
แมทธิว เบลลามี เป็นนักร้องนำของ มิวส์.
เจมส์ เมอร์ฟี เป็นนักร้องนำของ แอลซีดีซาวด์ซิสเตม.
วิน บัตเลอร์ เป็นนักร้องนำของ อาร์เคดไฟร์.
เชอร์ลีย์ แมนสัน เป็นนักร้องนำของ การ์เบจ.
เคิร์ต โคเบน เป็นนักร้องนำของ เนอร์วานา.
เดฟ โกรล เป็นนักร้องนำของ",ไฟ,บ
