prompt,answer_token,predicted_top1_token
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
गुस्सैल की सर्वोत्तम रूप है", सबस, सबस
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
गुस्सैल की सर्वोत्तम रूप है",े,े
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
गुस्सैल की सर्वोत्तम रूप है", ग, ग
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
गुस्सैल की सर्वोत्तम रूप है",ुस,ुस
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
गुस्सैल की सर्वोत्तम रूप है",्स,्स
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
गुस्सैल की सर्वोत्तम रूप है",ैल,ैल
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बुरा की सर्वोत्तम रूप है", सबस, सबस
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बुरा की सर्वोत्तम रूप है",े,े
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बुरा की सर्वोत्तम रूप है", ब, ब
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बुरा की सर्वोत्तम रूप है",ुर,ुर
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बुरा की सर्वोत्तम रूप है",ा,"ा.
"
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बड़ा की सर्वोत्तम रूप है", सबस, सबस
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बड़ा की सर्वोत्तम रूप है",े,े
"प्राचीन की सर्वोत्तम रूप है सबसे प्राचीन.
कुशल की सर्वोत्तम रूप है सबसे कुशल.
अजीब की सर्वोत्तम रूप है सबसे अजीब.
लोकप्रिय की सर्वोत्तम रूप है सबसे लोकप्रिय.
चालाक की सर्वोत्तम रूप है सबसे चालाक.
महंगा की सर्वोत्तम रूप है सबसे महंगा.
विचित्र की सर्वोत्तम रूप है सबसे विचित्र.
रोचक की सर्वोत्तम रूप है सबसे रोचक.
साँवला की सर्वोत्तम रूप है सबसे साँवला.
खतरनाक की सर्वोत्तम रूप है सबसे खतरनाक.
बड़ा की सर्वोत्तम रूप है", बड, बड
