prompt,answer_token,predicted_top1_token
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Estados Unidos es el/la", dó, D
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Estados Unidos es el/la",lar,olar
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Estados Unidos es el/la", estad,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Estados Unidos es el/la",oun,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Estados Unidos es el/la",id, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Estados Unidos es el/la",ense,eda
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Reino Unido es el/la", lib, lib
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Reino Unido es el/la",ra,ra
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Reino Unido es el/la", est,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Reino Unido es el/la",er,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Reino Unido es el/la",l, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Reino Unido es el/la",ina,eda
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Japón es el/la", Yen, Yen
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Canadá es el/la", dó, D
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Canadá es el/la",lar,olar
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Australia es el/la", dó, D
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Australia es el/la",lar,olar
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de India es el/la", r, Ru
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de India es el/la",up,pee
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de India es el/la",ia,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de India es el/la", india,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Rusia es el/la", rub, Rub
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Rusia es el/la",lo,lo
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Rusia es el/la", r,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Rusia es el/la",uso,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de México es el/la", peso, P
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de México es el/la", mex,eso
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de México es el/la",ic,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de México es el/la",ano,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Nueva Zelanda es el/la", dó, D
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Nueva Zelanda es el/la",lar,olar
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Corea del Sur es el/la", won, Won
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Corea del Sur es el/la", sur,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Corea del Sur es el/la",core,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Corea del Sur es el/la",ano, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Turquía es el/la", L, L
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Turquía es el/la",ira,ira
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Argentina es el/la", peso, P
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Noruega es el/la", cor, Corona
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Noruega es el/la",ona,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Noruega es el/la", nor,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Noruega es el/la",ue, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Noruega es el/la",ga,eda
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Suecia es el/la", cor, Corona
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Suecia es el/la",ona,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Suecia es el/la", sue,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Suecia es el/la",ca, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Dinamarca es el/la", cor, Corona
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Dinamarca es el/la",ona,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Dinamarca es el/la", dan,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Dinamarca es el/la",esa, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Polonia es el/la", zł, Z
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Polonia es el/la",oty,lot
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Hungría es el/la", for, For
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Hungría es el/la",into,int
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Hungría es el/la", h,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Hungría es el/la",úng,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Hungría es el/la",aro, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Israel es el/la", sic, She
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Israel es el/la",lo,kel
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Arabia Saudí es el/la", r, Riy
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Arabia Saudí es el/la",ial,al
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Emiratos Árabes Unidos es el/la", dí, Dir
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Emiratos Árabes Unidos es el/la",r,ham
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Emiratos Árabes Unidos es el/la",ham,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Singapur es el/la", dó, D
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Singapur es el/la",lar,olar
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Singapur es el/la", de,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Singapur es el/la", Sing,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Singapur es el/la",apur, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Malasia es el/la", ring, Ring
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Malasia es el/la",git,git
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Indonesia es el/la", r, R
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Indonesia es el/la",up,up
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Indonesia es el/la",ia,ia
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Indonesia es el/la", indonesia,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Tailandia es el/la", ba, Ba
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Tailandia es el/la",ht,ht
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Tailandia es el/la", tail,".
"
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Tailandia es el/la",and,La
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Tailandia es el/la",és, mon
"La moneda oficial de Egipto es el/la libra.
La moneda oficial de Vietnam es el/la Dong.
La moneda oficial de Filipinas es el/la", peso, P
