prompt,answer_token,predicted_top1_token
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Toko Yasuda est instrumentiste sur le/la", guit, piano
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Toko Yasuda est instrumentiste sur le/la",are,".
"
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Tom Fletcher est instrumentiste sur le/la", guit, guit
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Tom Fletcher est instrumentiste sur le/la",are,are
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Mark Isham est instrumentiste sur le/la", trom, trom
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Mark Isham est instrumentiste sur le/la",p,p
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Mark Isham est instrumentiste sur le/la",ette,ette
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Alain Lanty est instrumentiste sur le/la", piano, trom
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Victor Merzhanov est instrumentiste sur le/la", piano, viol
"B.B. King est instrumentiste sur le/la guitare.
John Coltrane est instrumentiste sur le/la saxophone.
Elton John est instrumentiste sur le/la piano.
David Garrett est instrumentiste sur le/la violon.
Yuja Wang est instrumentiste sur le/la piano.
Tina Guo est instrumentiste sur le/la violoncelle.
Louis Armstrong est instrumentiste sur le/la trompette.
Tom Waits est instrumentiste sur le/la", piano, piano
