prompt,answer_token,predicted_top1_token
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Beyoncé Knowles se llama", Math, Math
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Beyoncé Knowles se llama",ew,ew
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Beyoncé Knowles se llama", Know, Know
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Beyoncé Knowles se llama",les,les
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de David Beckham se llama", David, David
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de David Beckham se llama", Edward, Edward
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de David Beckham se llama", Alan, Beckham
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de David Beckham se llama", Beckham,".
"
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Reese Witherspoon se llama", John, John
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Reese Witherspoon se llama", With, Dr
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Reese Witherspoon se llama",ers,isk
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Reese Witherspoon se llama",poon,ell
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Paris Jackson se llama", Michael, Joe
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Paris Jackson se llama", Jackson, Jackson
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Scott Eastwood se llama", Clint, Clint
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Scott Eastwood se llama", East, East
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Scott Eastwood se llama",wood,wood
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Rumer Willis se llama", Bruce, Bruce
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Rumer Willis se llama", Willis, Willis
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Zoe Kravitz se llama", L, L
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Zoe Kravitz se llama",enny,enny
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Zoe Kravitz se llama", Kr, Kr
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Zoe Kravitz se llama",av,av
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Zoe Kravitz se llama",itz,itz
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Dylan Brosnan se llama", Pierce, John
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Dylan Brosnan se llama", Bros, Bros
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Dylan Brosnan se llama",nan,nan
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Abby Elliott se llama", Chris, Michael
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Abby Elliott se llama", Elliott, Elliott
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Georgia May Jagger se llama", Mick, Michael
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Georgia May Jagger se llama", J, J
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Georgia May Jagger se llama",agger,agger
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Paula Abdul se llama", Harry, Sam
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Paula Abdul se llama", Abdul, Abdul
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Chet Hanks se llama", Tom, Tom
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Chet Hanks se llama", H, H
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Chet Hanks se llama",anks,anks
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Ivanka Trump se llama", Donald, Fred
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Ivanka Trump se llama", Trump, Trump
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Patrick Schwarzenegger se llama", Arnold, Arnold
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Patrick Schwarzenegger se llama", Schwar, Schwar
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Patrick Schwarzenegger se llama",zen,zen
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Patrick Schwarzenegger se llama",eg,eg
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Patrick Schwarzenegger se llama",ger,ger
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Tracy Reiner se llama", Rob, Robert
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Tracy Reiner se llama", Re, Re
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Tracy Reiner se llama",iner,iner
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Jakob Dylan se llama", Bob, David
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Jakob Dylan se llama", Dylan, Bruce
"El padre de Hailey Bieber se llama Stephen Baldwin.
El padre de Don Johnson se llama Fredie Wayne Johnson.
El padre de Max Irons se llama", Jeremy, Jeremy
