prompt,answer_token,predicted_top1_token
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है", व, व
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",ॉ,ाश
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",श,िं
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",िं,ग
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",ग,टन
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",टन,","
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है", ड, ड
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",ी,ी.
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",॰,स
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है", स,ी.
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",ी, (
"नॉर्वे की राजधानी है ओस्लो.
संयुक्त राज्य अमेरिका की राजधानी है",॰,व
"नॉर्वे की राजधानी है ओस्लो.
कनाडा की राजधानी है", ओ, ओ
"नॉर्वे की राजधानी है ओस्लो.
कनाडा की राजधानी है",ट,ट
"नॉर्वे की राजधानी है ओस्लो.
कनाडा की राजधानी है",ाव,ाव
"नॉर्वे की राजधानी है ओस्लो.
कनाडा की राजधानी है",ा,ा
"नॉर्वे की राजधानी है ओस्लो.
मेक्सिको की राजधानी है", म, म
"नॉर्वे की राजधानी है ओस्लो.
मेक्सिको की राजधानी है",ेक,ेक
"नॉर्वे की राजधानी है ओस्लो.
मेक्सिको की राजधानी है",्स,्स
"नॉर्वे की राजधानी है ओस्लो.
मेक्सिको की राजधानी है",िक,िक
"नॉर्वे की राजधानी है ओस्लो.
मेक्सिको की राजधानी है",ो,ो
"नॉर्वे की राजधानी है ओस्लो.
मेक्सिको की राजधानी है", नगर, स
"नॉर्वे की राजधानी है ओस्लो.
अर्जेण्टीना की राजधानी है", ब, ब
"नॉर्वे की राजधानी है ओस्लो.
अर्जेण्टीना की राजधानी है",्य,ुए
"नॉर्वे की राजधानी है ओस्लो.
अर्जेण्टीना की राजधानी है",ून,न
"नॉर्वे की राजधानी है ओस्लो.
अर्जेण्टीना की राजधानी है",स,ोस
"नॉर्वे की राजधानी है ओस्लो.
अर्जेण्टीना की राजधानी है", आय, आय
"नॉर्वे की राजधानी है ओस्लो.
अर्जेण्टीना की राजधानी है",र,र
"नॉर्वे की राजधानी है ओस्लो.
अर्जेण्टीना की राजधानी है",्स,ेस
"नॉर्वे की राजधानी है ओस्लो.
चिली की राजधानी है", स, स
"नॉर्वे की राजधानी है ओस्लो.
चिली की राजधानी है",ेण,ैं
"नॉर्वे की राजधानी है ओस्लो.
चिली की राजधानी है",्ट,ट
"नॉर्वे की राजधानी है ओस्लो.
चिली की राजधानी है",िय,िय
"नॉर्वे की राजधानी है ओस्लो.
चिली की राजधानी है",ाग,ाग
"नॉर्वे की राजधानी है ओस्लो.
चिली की राजधानी है",ो,ो
"नॉर्वे की राजधानी है ओस्लो.
पेरू की राजधानी है", ल, ल
"नॉर्वे की राजधानी है ओस्लो.
पेरू की राजधानी है",ीम,िम
"नॉर्वे की राजधानी है ओस्लो.
पेरू की राजधानी है",ा,ा
"नॉर्वे की राजधानी है ओस्लो.
वेनेज़ुएला की राजधानी है", क, क
