prompt,answer_token,predicted_top1_token
El nombre real de Superman es, Clark, Kal
El nombre real de Superman es, Kent,-
El nombre real de Batman es, Bruce, Bruce
El nombre real de Batman es, Wayne, Wayne
El nombre real de Wonder Woman es, Diana, Diana
El nombre real de Wonder Woman es, Prince,","
El nombre real de Spider-Man es, Peter, Peter
El nombre real de Spider-Man es, Parker, Parker
El nombre real de Iron Man es, Tony, Tony
El nombre real de Iron Man es, Stark, Stark
El nombre real de Captain America es, Steve, Steven
El nombre real de Captain America es, Rogers, Grant
El nombre real de The Flash es, Barry, Barry
El nombre real de The Flash es, Allen, Allen
El nombre real de Green Lantern es, Hal, Hal
El nombre real de Green Lantern es, Jordan, Jordan
El nombre real de Green Arrow es, Oliver, Oliver
El nombre real de Green Arrow es, Queen, Queen
El nombre real de Aquaman es, Arthur, Arthur
El nombre real de Aquaman es, Curry, Curry
El nombre real de Daredevil es, Matt, Matt
El nombre real de Daredevil es, Mur, Mur
El nombre real de Daredevil es,dock,dock
El nombre real de Cyclops es, Scott, un
El nombre real de Cyclops es, Summers, dimin
El nombre real de Storm es, Or, Storm
El nombre real de Storm es,oro, Drake
El nombre real de Storm es, Mun,","
El nombre real de Storm es,roe, pero
El nombre real de Mr. Fantastic es, Reed, Reed
El nombre real de Mr. Fantastic es, Richards, Richards
El nombre real de Invisible Woman es, Sue, Susan
El nombre real de Invisible Woman es, Storm, Storm
El nombre real de Human Torch es, Johnny, James
El nombre real de Human Torch es, Storm, J
El nombre real de The Thing es, Ben, The
El nombre real de The Thing es, Grimm, Thing
El nombre real de Kid Flash es, W, W
El nombre real de Kid Flash es,ally,ally
El nombre real de Kid Flash es, West, West
El nombre real de Nightwing es, Dick, Dick
El nombre real de Nightwing es, Gray, Gray
El nombre real de Nightwing es,son,son
El nombre real de Shazam es, Billy, Billy
El nombre real de Shazam es, Bat, Bat
El nombre real de Shazam es,son,son
El nombre real de Green Lantern es, Kyle, Hal
El nombre real de Green Lantern es, Ray, Jordan
El nombre real de Green Lantern es,ner,","
El nombre real de Red Robin es, Tim, Robert
El nombre real de Red Robin es, Drake, Bruce
El nombre real de Red Hood es, Jason, Jason
El nombre real de Red Hood es, Todd, Todd
El nombre real de Catwoman es, Sel, Sel
El nombre real de Catwoman es,ina,ina
El nombre real de Catwoman es, Kyle, Kyle
El nombre real de Phoenix es, Jean, Phoenix
El nombre real de Phoenix es, Grey, Wright
El nombre real de Wolverine es, Logan, James
El nombre real de Wolverine es, How, How
El nombre real de Wolverine es,lett,lett
El nombre real de Supergirl es, Kara, Kara
El nombre real de Supergirl es, Z, Z
El nombre real de Supergirl es,or,or
El nombre real de Supergirl es,-,-
El nombre real de Supergirl es,El,El
El nombre real de Black Widow es, Natasha, Natasha
El nombre real de Black Widow es, Roman, Roman
El nombre real de Black Widow es,off,off
El nombre real de Hawkeye es, Clint, Clint
El nombre real de Hawkeye es, Barton, Barton
El nombre real de Captain Marvel es, Carol, Carol
El nombre real de Captain Marvel es, Dan, Dan
El nombre real de Captain Marvel es,vers,vers
El nombre real de She-Hulk es, Jennifer, Jennifer
El nombre real de She-Hulk es, Walters, Walters
El nombre real de Spider-Woman es, Jessica, Jessica
El nombre real de Spider-Woman es, Drew, Drew
El nombre real de Spider-Man es, Miles, Peter
El nombre real de Spider-Man es, Morales, Parker
El nombre real de Ms. Marvel es, Kam, Kam
El nombre real de Ms. Marvel es,ala,ala
El nombre real de Ms. Marvel es, Khan, Khan
El nombre real de Falcon es, Sam, Falcon
El nombre real de Falcon es, Wilson,","
El nombre real de Black Panther es, T, T
El nombre real de Black Panther es,','
El nombre real de Black Panther es,Ch,Ch
El nombre real de Black Panther es,alla,alla
El nombre real de Doctor Strange es, Stephen, Stephen
El nombre real de Doctor Strange es, Strange, Strange
El nombre real de Ant-Man es, Hank, Scott
El nombre real de Ant-Man es, P, Lang
El nombre real de Ant-Man es,ym,","
El nombre real de Wasp es, Janet, William
El nombre real de Wasp es, Van, S
El nombre real de Wasp es, Dy,try
El nombre real de Wasp es,ne,ker
El nombre real de Blue Beetle es, Jaime, Jaime
El nombre real de Blue Beetle es, Reyes, Reyes
El nombre real de Batgirl es, Cassandra, Barbara
El nombre real de Batgirl es, Cain, Gordon
El nombre real de Spoiler es, Stephanie, un
El nombre real de Spoiler es, Brown, m
El nombre real de Oracle es, Barbara, Or
El nombre real de Oracle es, Gordon,á
El nombre real de Power Man es, Luke, Luke
El nombre real de Power Man es, Cage, Cage
El nombre real de Iron Fist es, Danny, Danny
El nombre real de Iron Fist es, Rand, Rand
El nombre real de Jewel es, Jessica, Jewel
El nombre real de Jewel es, Jones, Kil
El nombre real de Starfire es, K, Jason
El nombre real de Starfire es,ori, Todd
El nombre real de Starfire es,and,","
El nombre real de Starfire es,'r, y
El nombre real de Cyborg es, Victor, Victor
El nombre real de Cyborg es, Stone, Stone
El nombre real de Raven es, Rachel, Raven
El nombre real de Raven es, Roth, Mc
El nombre real de Beast Boy es, Gar, Gar
El nombre real de Beast Boy es,field,field
El nombre real de Beast Boy es, Logan, Logan
El nombre real de Batwoman es, Kate, Kate
El nombre real de Batwoman es, Kane, Kane
El nombre real de Arsenal es, Roy, Henry
El nombre real de Arsenal es, Harper,","
El nombre real de Gambit es, R, V
El nombre real de Gambit es,emy,asily
El nombre real de Gambit es, Le, Ivan
El nombre real de Gambit es,Be,ovich
El nombre real de Gambit es,au, Ne
El nombre real de Iceman es, Bobby, Richard
El nombre real de Iceman es, Drake," """
El nombre real de Shadowcat es, Kitty, Rachel
El nombre real de Shadowcat es, Pry, Summers
El nombre real de Shadowcat es,de,","
El nombre real de Hellblazer es, John, John
El nombre real de Hellblazer es, Constant, Constant
El nombre real de Hellblazer es,ine,ine
El nombre real de Green Lantern es, Alan, Hal
El nombre real de Green Lantern es, Scott, Jordan
El nombre real de The Flash es, Jay, Barry
El nombre real de The Flash es, Garr, Allen
El nombre real de The Flash es,ick,","
El nombre real de Blue Beetle es, Ted, Jaime
El nombre real de Blue Beetle es, K, Reyes
El nombre real de Blue Beetle es,ord,","
El nombre real de Booster Gold es, Michael, Michael
El nombre real de Booster Gold es, Jon, Jon
El nombre real de Booster Gold es, Carter, Carter
El nombre real de Huntress es, Helena," """
El nombre real de Huntress es, Bert,H
El nombre real de Huntress es,in,unt
El nombre real de Huntress es,elli,ress
El nombre real de Zatanna es, Z, Z
El nombre real de Zatanna es,at,at
El nombre real de Zatanna es,anna,anna
El nombre real de Zatanna es, Z, Z
El nombre real de Zatanna es,at,at
El nombre real de Zatanna es,ara,ara
El nombre real de Martian Manhunter es, J, J
El nombre real de Martian Manhunter es,','
El nombre real de Martian Manhunter es,onn,onn
El nombre real de Martian Manhunter es, J, J
El nombre real de Martian Manhunter es,'on,'on
El nombre real de Martian Manhunter es,zz,zz
El nombre real de Black Canary es, Din, Din
El nombre real de Black Canary es,ah,ah
El nombre real de Black Canary es, Lance, Drake
El nombre real de Firestar es, Angel," """
El nombre real de Firestar es,ica,Fire
El nombre real de Firestar es, Jones,star
El nombre real de Silver Surfer es, Nor, Nath
El nombre real de Silver Surfer es,rin,aniel
El nombre real de Silver Surfer es, R, Richards
El nombre real de Silver Surfer es,add,","
El nombre real de Nightcrawler es, Kurt, Kurt
El nombre real de Nightcrawler es, Wagner, Wagner
El nombre real de Professor X es, Charles, Charles
El nombre real de Professor X es, Xavier, Xavier
El nombre real de Beast es, Hank, un
El nombre real de Beast es, McCoy, m
El nombre real de Colossus es, P, un
El nombre real de Colossus es,iot, m
El nombre real de Colossus es,r,ister
El nombre real de Colossus es, Ras,io
El nombre real de Colossus es,put,.
El nombre real de Colossus es,in, Se
El nombre real de Mister Miracle es, Scott, Robert
El nombre real de Mister Miracle es, Free, Reynolds
El nombre real de Big Barda es, Big, L
El nombre real de Big Barda es, Bard,orna
El nombre real de Big Barda es,a, Dane
El nombre real de Firestorm es, Ronnie," """
El nombre real de Firestorm es, Raymond,Fire
El nombre real de Blue Power Ranger es, Billy, Jason
El nombre real de Blue Power Ranger es, Cran, Lee
El nombre real de Blue Power Ranger es,ston, Scott
El nombre real de Green Lantern es, Simon, Hal
El nombre real de Green Lantern es, Baz, Jordan
El nombre real de Green Lantern es, Jessica, Hal
El nombre real de Green Lantern es, Cruz, Jordan
El nombre real de Wildcat es, Ted, un
El nombre real de Wildcat es, Grant, m
El nombre real de Hawkman es, Carter, Carlos
El nombre real de Hawkman es, Hall, Al
El nombre real de Hawkgirl es, Kend, Kend
El nombre real de Hawkgirl es,ra,ra
El nombre real de Hawkgirl es, Saunders, Saunders
El nombre real de Black Lightning es, Jefferson, Jefferson
El nombre real de Black Lightning es, Pierce, Pierce
El nombre real de Green Arrow es, Connor, Oliver
El nombre real de Green Arrow es, Haw, Queen
El nombre real de Green Arrow es,ke,","
El nombre real de Ravager es, Rose," """
