prompt,answer_token,predicted_top1_token
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Beyoncé Knowles s'appelle", Math, Math
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Beyoncé Knowles s'appelle",ew,ew
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Beyoncé Knowles s'appelle", Know, Know
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Beyoncé Knowles s'appelle",les,les
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de David Beckham s'appelle", David, David
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de David Beckham s'appelle", Edward, Beckham
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de David Beckham s'appelle", Alan,".
"
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de David Beckham s'appelle", Beckham,Le
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Reese Witherspoon s'appelle", John, John
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Reese Witherspoon s'appelle", With, Dr
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Reese Witherspoon s'appelle",ers,aper
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Reese Witherspoon s'appelle",poon,".
"
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Paris Jackson s'appelle", Michael, Joe
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Paris Jackson s'appelle", Jackson, Jackson
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Scott Eastwood s'appelle", Clint, Clint
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Scott Eastwood s'appelle", East, East
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Scott Eastwood s'appelle",wood,wood
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Rumer Willis s'appelle", Bruce, Bruce
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Rumer Willis s'appelle", Willis, Willis
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Zoe Kravitz s'appelle", L, L
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Zoe Kravitz s'appelle",enny,enny
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Zoe Kravitz s'appelle", Kr, Kr
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Zoe Kravitz s'appelle",av,av
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Zoe Kravitz s'appelle",itz,itz
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Dylan Brosnan s'appelle", Pierce, John
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Dylan Brosnan s'appelle", Bros, Bros
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Dylan Brosnan s'appelle",nan,nan
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Abby Elliott s'appelle", Chris, Michael
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Abby Elliott s'appelle", Elliott, Elliott
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Georgia May Jagger s'appelle", Mick, Michael
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Georgia May Jagger s'appelle", J, J
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Georgia May Jagger s'appelle",agger,agger
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Paula Abdul s'appelle", Harry, Paul
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Paula Abdul s'appelle", Abdul, Abdul
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Chet Hanks s'appelle", Tom, Tom
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Chet Hanks s'appelle", H, H
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Chet Hanks s'appelle",anks,anks
"Le père de Hailey Bieber s'appelle Stephen Baldwin.
Le père de Ivanka Trump s'appelle", Donald, Fred
