prompt,answer_token,predicted_top1_token
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Estados Unidos es", N, N
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Estados Unidos es",ueva,ueva
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Estados Unidos es", York, York
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de República Popular China es", Sh, Pek
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de República Popular China es",ang,ín
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de República Popular China es",h,".
"
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de República Popular China es",ái,La
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Japón es", Tok, Tok
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Japón es",io,io
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Rusia es", Mos, San
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Rusia es",c, Peters
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Rusia es",ú,bur
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de India es", Bombay, Mumbai
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Brasil es", São, São
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Brasil es", Paulo, Paulo
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Australia es", S, Melbourne
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Australia es",í,".
"
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Australia es",dney,La
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Canadá es", Toronto, Toronto
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Reino Unido es", Lond, Lond
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Reino Unido es",res,res
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Francia es", Par, Par
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Francia es",ís,ís
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Alemania es", Ber, Ber
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Alemania es",lín,lín
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Italia es", Roma, Roma
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de México es", Ciudad, Ciudad
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de México es", de, de
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de México es", México, México
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Corea del Sur es", Se, Se
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Corea del Sur es",ú,ú
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Corea del Sur es",l,l
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Turquía es", Est, Est
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Turquía es",amb,amb
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Turquía es",ul,ul
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de España es", Madrid, Barcelona
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Argentina es", Buenos, Buenos
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Argentina es", Aires, Aires
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Sudáfrica es", Johannes, Ciudad
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Sudáfrica es",bur, del
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Sudáfrica es",go, Cab
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Polonia es", Var, Var
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Polonia es",so,so
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Polonia es",via,via
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Nigeria es", Lagos, Lagos
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Nueva Zelanda es", Auckland, Auckland
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Suiza es", Z, Z
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Suiza es",ú,ú
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Suiza es",rich,rich
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Países Bajos es", Á, Á
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Países Bajos es",m,m
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Países Bajos es",sterdam,sterdam
"La ciudad más poblada de Noruega es Oslo.
La ciudad más poblada de Finlandia es Helsinki.
La ciudad más poblada de Pakistán es", Karachi, Karachi
