prompt,answer_token,predicted_top1_token
"Le contraire de propre est négligent.
Le contraire de aimant est", h, att
"Le contraire de propre est négligent.
Le contraire de aimant est",aine,ir
"Le contraire de propre est négligent.
Le contraire de aimant est",ux,ant
"Le contraire de propre est négligent.
Le contraire de créateur est", destruct, destruct
"Le contraire de propre est négligent.
Le contraire de créateur est",eur,eur
"Le contraire de propre est négligent.
Le contraire de heureux est", mal, mal
"Le contraire de propre est négligent.
Le contraire de heureux est",heure,heure
"Le contraire de propre est négligent.
Le contraire de heureux est",ux,ux
"Le contraire de propre est négligent.
Le contraire de plein est", vide, vide
"Le contraire de propre est négligent.
Le contraire de courageux est", l, l
"Le contraire de propre est négligent.
Le contraire de courageux est",â,â
"Le contraire de propre est négligent.
Le contraire de courageux est",che,che
"Le contraire de propre est négligent.
Le contraire de ouvert est", ferm, ferm
"Le contraire de propre est négligent.
Le contraire de ouvert est",é,é
"Le contraire de propre est négligent.
Le contraire de sûr est", dang, inc
"Le contraire de propre est négligent.
Le contraire de sûr est",ere,ertain
"Le contraire de propre est négligent.
Le contraire de sûr est",ux,".
"
"Le contraire de propre est négligent.
Le contraire de beau est", laid, laid
"Le contraire de propre est négligent.
Le contraire de ami est", enn, enn
"Le contraire de propre est négligent.
Le contraire de ami est",emi,emi
"Le contraire de propre est négligent.
Le contraire de diurne est", noct, noct
"Le contraire de propre est négligent.
Le contraire de diurne est",urn,urn
"Le contraire de propre est négligent.
Le contraire de diurne est",e,e
"Le contraire de propre est négligent.
Le contraire de acheteur est", v, v
"Le contraire de propre est négligent.
Le contraire de acheteur est",ende,ende
"Le contraire de propre est négligent.
Le contraire de acheteur est",ur,ur
"Le contraire de propre est négligent.
Le contraire de grand est", petit, petit
"Le contraire de propre est négligent.
Le contraire de vieux est", jeune, jeune
"Le contraire de propre est négligent.
Le contraire de silencieux est", br, parl
"Le contraire de propre est négligent.
Le contraire de silencieux est",uy,ant
"Le contraire de propre est négligent.
Le contraire de silencieux est",ant,".
"
"Le contraire de propre est négligent.
Le contraire de vrai est", faux, faux
"Le contraire de propre est négligent.
Le contraire de rapide est", lent, lent
"Le contraire de propre est négligent.
Le contraire de chaud est", f, f
"Le contraire de propre est négligent.
Le contraire de chaud est",roid,roid
"Le contraire de propre est négligent.
Le contraire de bon est", mau, mau
"Le contraire de propre est négligent.
Le contraire de bon est",vais,vais
"Le contraire de propre est négligent.
Le contraire de initial est", final, in
"Le contraire de propre est négligent.
Le contraire de intérieur est", ext, ext
"Le contraire de propre est négligent.
Le contraire de intérieur est",érieur,érieur
"Le contraire de propre est négligent.
Le contraire de gagnant est", perd, per
"Le contraire de propre est négligent.
Le contraire de gagnant est",ant,du
"Le contraire de propre est négligent.
Le contraire de généreux est", pre, av
"Le contraire de propre est négligent.
Le contraire de généreux est",nant,are
"Le contraire de propre est négligent.
Le contraire de clair est", fon, obs
"Le contraire de propre est négligent.
Le contraire de clair est",cé,cur
"Le contraire de propre est négligent.
Le contraire de sain est", mal, mal
"Le contraire de propre est négligent.
Le contraire de sain est",ade,ade
"Le contraire de propre est négligent.
Le contraire de propre est", sale, né
"Le contraire de propre est négligent.
Le contraire de juste est", faux, injust
"Le contraire de propre est négligent.
Le contraire de haut est", bas, bas
"Le contraire de propre est négligent.
Le contraire de fort est", fa, fa
"Le contraire de propre est négligent.
Le contraire de fort est",ible,ible
"Le contraire de propre est négligent.
Le contraire de heureux est", en, mal
"Le contraire de propre est négligent.
Le contraire de heureux est", col,heure
"Le contraire de propre est négligent.
Le contraire de heureux est",ère,ux
"Le contraire de propre est négligent.
Le contraire de grand est", petit, petit
"Le contraire de propre est négligent.
Le contraire de sage est", ins, ins
"Le contraire de propre est négligent.
Le contraire de sage est",ens,ens
"Le contraire de propre est négligent.
Le contraire de sage est",é,é
"Le contraire de propre est négligent.
Le contraire de connecté est", dé, dé
"Le contraire de propre est négligent.
Le contraire de connecté est",connect,connect
"Le contraire de propre est négligent.
Le contraire de connecté est",é,é
"Le contraire de propre est négligent.
Le contraire de doux est", dur, amer
"Le contraire de propre est négligent.
Le contraire de oui est", non, non
"Le contraire de propre est négligent.
Le contraire de lisse est", rug, rug
"Le contraire de propre est négligent.
Le contraire de lisse est",ue,ue
"Le contraire de propre est négligent.
Le contraire de lisse est",ux,ux
"Le contraire de propre est négligent.
Le contraire de avant est", ar, ar
"Le contraire de propre est négligent.
Le contraire de avant est",rière,rière
"Le contraire de propre est négligent.
Le contraire de indulgent est", accus, sé
"Le contraire de propre est négligent.
Le contraire de indulgent est",ateur,v
"Le contraire de propre est négligent.
Le contraire de simple est", complex, complex
"Le contraire de propre est négligent.
Le contraire de simple est",e,e
"Le contraire de propre est négligent.
Le contraire de ouvert est", ferm, ferm
"Le contraire de propre est négligent.
Le contraire de ouvert est",é,é
"Le contraire de propre est négligent.
Le contraire de superficiel est", prof, superf
"Le contraire de propre est négligent.
Le contraire de superficiel est",ond,iciel
"Le contraire de propre est négligent.
Le contraire de souriant est", ren, tr
"Le contraire de propre est négligent.
Le contraire de souriant est",f,iste
"Le contraire de propre est négligent.
Le contraire de souriant est",ro,".
"
"Le contraire de propre est négligent.
Le contraire de souriant est",gn,Le
"Le contraire de propre est négligent.
Le contraire de souriant est",é, contra
"Le contraire de propre est négligent.
Le contraire de joyeux est", tr, tr
"Le contraire de propre est négligent.
Le contraire de joyeux est",iste,iste
"Le contraire de propre est négligent.
Le contraire de rapide est", lent, lent
"Le contraire de propre est négligent.
Le contraire de haut est", bas, bas
"Le contraire de propre est négligent.
Le contraire de positif est", n, n
"Le contraire de propre est négligent.
Le contraire de positif est",ég,ég
"Le contraire de propre est négligent.
Le contraire de positif est",atif,atif
"Le contraire de propre est négligent.
Le contraire de honnête est", mal, mé
"Le contraire de propre est négligent.
Le contraire de honnête est",h,chant
"Le contraire de propre est négligent.
Le contraire de honnête est",onn,".
"
"Le contraire de propre est négligent.
Le contraire de honnête est",ête,Le
"Le contraire de propre est négligent.
Le contraire de poussant est", tir, r
"Le contraire de propre est négligent.
Le contraire de poussant est",ant,alent
"Le contraire de propre est négligent.
Le contraire de mouillé est", sec, sec
"Le contraire de propre est négligent.
Le contraire de haut est", sort, bas
"Le contraire de propre est négligent.
Le contraire de haut est",i,".
"
"Le contraire de propre est négligent.
Le contraire de étroit est", large, large
"Le contraire de propre est négligent.
Le contraire de allumé est", é, é
"Le contraire de propre est négligent.
Le contraire de allumé est",te,te
"Le contraire de propre est négligent.
Le contraire de allumé est",int,int
"Le contraire de propre est négligent.
Le contraire de droit est", cour, faux
"Le contraire de propre est négligent.
Le contraire de droit est",bé,".
"
"Le contraire de propre est négligent.
Le contraire de acceptable est", ré, in
"Le contraire de propre est négligent.
Le contraire de acceptable est",p,acceptable
"Le contraire de propre est négligent.
Le contraire de acceptable est",rou,".
"
"Le contraire de propre est négligent.
Le contraire de acceptable est",vé,Le
"Le contraire de propre est négligent.
Le contraire de construire est", dé, dé
"Le contraire de propre est négligent.
Le contraire de construire est",mol,tr
"Le contraire de propre est négligent.
Le contraire de construire est",ir,uire
"Le contraire de propre est négligent.
Le contraire de doux est", rug, amer
"Le contraire de propre est négligent.
Le contraire de doux est",ue,".
"
"Le contraire de propre est négligent.
Le contraire de doux est",ux,Le
"Le contraire de propre est négligent.
Le contraire de inclus est", exclus, exclus
"Le contraire de propre est négligent.
Le contraire de passé est", fut, présent
"Le contraire de propre est négligent.
Le contraire de passé est",ur,".
"
"Le contraire de propre est négligent.
Le contraire de arrivant est", part, parti
"Le contraire de propre est négligent.
Le contraire de arrivant est",ant,".
"
"Le contraire de propre est négligent.
Le contraire de inspirant est", exp, enn
"Le contraire de propre est négligent.
Le contraire de inspirant est",ir,uye
"Le contraire de propre est négligent.
Le contraire de inspirant est",ant,ux
"Le contraire de propre est négligent.
Le contraire de épars est", ré, dispers
"Le contraire de propre est négligent.
Le contraire de épars est",uni,é
"Le contraire de propre est négligent.
Le contraire de emprunté est", pr, é
"Le contraire de propre est négligent.
Le contraire de emprunté est",êt,tr
"Le contraire de propre est négligent.
Le contraire de emprunté est",é,anger
"Le contraire de propre est négligent.
Le contraire de séparé est", uni, un
"Le contraire de propre est négligent.
Le contraire de arrivant est", part, parti
"Le contraire de propre est négligent.
Le contraire de arrivant est",ant,".
"
"Le contraire de propre est négligent.
Le contraire de ouvert est", ferm, ferm
"Le contraire de propre est négligent.
Le contraire de ouvert est",é,é
"Le contraire de propre est négligent.
Le contraire de flottant est", cou, fix
"Le contraire de propre est négligent.
Le contraire de flottant est",lant,e
"Le contraire de propre est négligent.
Le contraire de courbé est", ra, droit
"Le contraire de propre est négligent.
Le contraire de courbé est",ide,".
"
"Le contraire de propre est négligent.
Le contraire de épars est", collect, dispers
"Le contraire de propre est négligent.
Le contraire de épars est",é,é
"Le contraire de propre est négligent.
Le contraire de ascendant est", descendant, descendant
"Le contraire de propre est négligent.
Le contraire de élogieux est", critique, mé
"Le contraire de propre est négligent.
Le contraire de invisible est", visible, visible
"Le contraire de propre est négligent.
Le contraire de initial est", final, in
"Le contraire de propre est négligent.
Le contraire de entrant est", sort, sort
"Le contraire de propre est négligent.
Le contraire de entrant est",ant,ant
"Le contraire de propre est négligent.
Le contraire de attirant est", rep, rep
"Le contraire de propre est négligent.
Le contraire de attirant est",ou,ou
"Le contraire de propre est négligent.
Le contraire de attirant est",ss,ss
"Le contraire de propre est négligent.
Le contraire de attirant est",ant,ant
"Le contraire de propre est négligent.
Le contraire de généreux est", ré, av
"Le contraire de propre est négligent.
Le contraire de généreux est",cept,are
"Le contraire de propre est négligent.
Le contraire de généreux est",if,".
"
"Le contraire de propre est négligent.
Le contraire de trouvé est", per, per
"Le contraire de propre est négligent.
Le contraire de trouvé est",du,du
"Le contraire de propre est négligent.
Le contraire de initial est", final, in
"Le contraire de propre est négligent.
Le contraire de tirant est", pou, l
"Le contraire de propre est négligent.
Le contraire de tirant est",ss,â
"Le contraire de propre est négligent.
Le contraire de tirant est",ant,che
"Le contraire de propre est négligent.
Le contraire de croissant est", déc, déc
"Le contraire de propre est négligent.
Le contraire de croissant est",ro,ro
"Le contraire de propre est négligent.
Le contraire de croissant est",issant,issant
"Le contraire de propre est négligent.
Le contraire de gagnant est", abandon, per
"Le contraire de propre est négligent.
Le contraire de gagnant est",ne,du
"Le contraire de propre est négligent.
Le contraire de gagnant est",ur,".
"
"Le contraire de propre est négligent.
Le contraire de calme est", ag, ag
"Le contraire de propre est négligent.
Le contraire de calme est",ité,ité
"Le contraire de propre est négligent.
Le contraire de expansif est", contract, contract
"Le contraire de propre est négligent.
Le contraire de expansif est",é,ant
"Le contraire de propre est négligent.
Le contraire de offensif est", déf, déf
"Le contraire de propre est négligent.
Le contraire de offensif est",ens,ens
"Le contraire de propre est négligent.
Le contraire de offensif est",if,if
"Le contraire de propre est négligent.
Le contraire de économe est", dép, prod
"Le contraire de propre est négligent.
Le contraire de économe est",ens,igue
"Le contraire de propre est négligent.
Le contraire de économe est",ier,".
"
"Le contraire de propre est négligent.
Le contraire de mémorable est", , 
"Le contraire de propre est négligent.
Le contraire de mémorable est",oub,oub
"Le contraire de propre est négligent.
Le contraire de mémorable est",liable,li
"Le contraire de propre est négligent.
Le contraire de prêteur est", em, pr
"Le contraire de propre est négligent.
Le contraire de prêteur est",pr,ête
"Le contraire de propre est négligent.
Le contraire de prêteur est",unte,ur
"Le contraire de propre est négligent.
Le contraire de prêteur est",ur,".
"
"Le contraire de propre est négligent.
Le contraire de ensemble est", sé, vide
"Le contraire de propre est négligent.
Le contraire de ensemble est",par,".
"
"Le contraire de propre est négligent.
Le contraire de ensemble est",é,Le
"Le contraire de propre est négligent.
Le contraire de interrogatif est", rés, n
"Le contraire de propre est négligent.
Le contraire de interrogatif est",olut,ég
"Le contraire de propre est négligent.
Le contraire de interrogatif est",if,atif
"Le contraire de propre est négligent.
Le contraire de fermé est", ou, ou
"Le contraire de propre est négligent.
Le contraire de fermé est",vert,vert
