prompt,answer_token,predicted_top1_token
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Monell Chemical Senses Center está na cidade de", Fil, Fil
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Monell Chemical Senses Center está na cidade de",ad,ad
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Monell Chemical Senses Center está na cidade de",é,é
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Monell Chemical Senses Center está na cidade de",lf,lf
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Monell Chemical Senses Center está na cidade de",ia,ia
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Majorette está na cidade de", Lyon, Saint
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Ipsos MORI está na cidade de", Lond, Lond
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Ipsos MORI está na cidade de",res,res
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Newcomen Society está na cidade de", Lond, Lond
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Newcomen Society está na cidade de",res,res
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Northeastern University está na cidade de", Boston, Boston
"A sede da Apple está na cidade de Cupertino.
A sede da Microsoft está na cidade de Redmond.
A sede da Tesla está na cidade de Austin.
A sede da Amazon.com está na cidade de Seattle.
A sede da Spotify está na cidade de Estocolmo.
A sede da Pappas Restaurants está na cidade de", Houston, Houston
