prompt,answer_token,predicted_top1_token
Toko Yasuda es instrumentista en el/la, guitar, grupo
Toko Yasuda es instrumentista en el/la,ra,/s
Tom Fletcher es instrumentista en el/la, guitar, grupo
Tom Fletcher es instrumentista en el/la,ra,/s
Mark Isham es instrumentista en el/la, trom, grupo
Mark Isham es instrumentista en el/la,p,/s
Mark Isham es instrumentista en el/la,eta,:
Alain Lanty es instrumentista en el/la, piano, grupo
Victor Merzhanov es instrumentista en el/la, piano, grupo
Tom Waits es instrumentista en el/la, piano,"
"
Micko Larkin es instrumentista en el/la, guitar, grupo
Micko Larkin es instrumentista en el/la,ra,/s
Keith Emerson es instrumentista en el/la, piano,"
"
Glen Ballard es instrumentista en el/la, guitar, grupo
Glen Ballard es instrumentista en el/la,ra,/s
Terry Trotter es instrumentista en el/la, piano, grupo
Roy Paci es instrumentista en el/la, trom,"
"
Roy Paci es instrumentista en el/la,p,*
Roy Paci es instrumentista en el/la,eta, 
Vitaly Margulis es instrumentista en el/la, piano, grupo
Josephine Wiggs es instrumentista en el/la, guitar, grupo
Josephine Wiggs es instrumentista en el/la,ra,/s
Johan De Farfalla es instrumentista en el/la, guitar,"
"
Johan De Farfalla es instrumentista en el/la,ra,J
Mike Scaccia es instrumentista en el/la, guitar,"
"
Mike Scaccia es instrumentista en el/la,ra,*
Arthur Grumiaux es instrumentista en el/la, piano,"
"
Larry Knechtel es instrumentista en el/la, guitar,"
"
Larry Knechtel es instrumentista en el/la,ra,*
Andor Toth es instrumentista en el/la, viol, Or
Andor Toth es instrumentista en el/la,ín,quest
John Cipollina es instrumentista en el/la, guitar,"
"
John Cipollina es instrumentista en el/la,ra,*
Robert Fripp es instrumentista en el/la, guitar, grupo
Robert Fripp es instrumentista en el/la,ra,/s
Gidon Kremer es instrumentista en el/la, viol,"
"
Gidon Kremer es instrumentista en el/la,ín,G
Kye Palmer es instrumentista en el/la, trom, grupo
Kye Palmer es instrumentista en el/la,p,/s
Kye Palmer es instrumentista en el/la,eta,:
Heather Trost es instrumentista en el/la, viol,"
"
Heather Trost es instrumentista en el/la,ín,*
Nick Didkovsky es instrumentista en el/la, guitar, grupo
Nick Didkovsky es instrumentista en el/la,ra,/s
Herbie Nichols es instrumentista en el/la, piano,"
"
Jean-Jacques Goldman es instrumentista en el/la, piano,"
"
John Fogerty es instrumentista en el/la, guitar, canc
John Fogerty es instrumentista en el/la,ra,ión
Matthieu Chedid es instrumentista en el/la, guitar, grupo
Matthieu Chedid es instrumentista en el/la,ra,/s
Roger Ingram es instrumentista en el/la, trom,"
"
Roger Ingram es instrumentista en el/la,p,*
Roger Ingram es instrumentista en el/la,eta, 
Brad Delson es instrumentista en el/la, guitar, grupo
Brad Delson es instrumentista en el/la,ra,/s
Pepeu Gomes es instrumentista en el/la, guitar, grupo
Pepeu Gomes es instrumentista en el/la,ra,/s
Hilary Hahn es instrumentista en el/la, viol,"
"
Hilary Hahn es instrumentista en el/la,ín,H
Chris Daughtry es instrumentista en el/la, guitar, canc
Chris Daughtry es instrumentista en el/la,ra,ión
Lil Hardin Armstrong es instrumentista en el/la, piano,"
"
Dizzy Reed es instrumentista en el/la, piano, grupo
Mark O'Connor es instrumentista en el/la, viol, grupo
Mark O'Connor es instrumentista en el/la,ín,/s
Meshell Ndegeocello es instrumentista en el/la, guitar, grupo
Meshell Ndegeocello es instrumentista en el/la,ra,(s
Chris Thile es instrumentista en el/la, guitar,"
"
Chris Thile es instrumentista en el/la,ra,*
Tadd Dameron es instrumentista en el/la, piano,"
"
Drew Shirley es instrumentista en el/la, guitar, grupo
Drew Shirley es instrumentista en el/la,ra,/s
Charlie Palmieri es instrumentista en el/la, piano,"
"
James Honeyman-Scott es instrumentista en el/la, guitar, grupo
James Honeyman-Scott es instrumentista en el/la,ra,/s
Sarah Cahill es instrumentista en el/la, piano, grupo
Luigi Dallapiccola es instrumentista en el/la, piano, or
Darol Anger es instrumentista en el/la, viol, grupo
Darol Anger es instrumentista en el/la,ín,/s
Pete Johnson es instrumentista en el/la, piano, grupo
Bert Joris es instrumentista en el/la, trom, grupo
Bert Joris es instrumentista en el/la,p,/s
Bert Joris es instrumentista en el/la,eta,:
Raimonds Pauls es instrumentista en el/la, piano, grupo
David Gates es instrumentista en el/la, viol, grupo
David Gates es instrumentista en el/la,ín,/s
The Edge es instrumentista en el/la, guitar, banda
The Edge es instrumentista en el/la,ra, de
George Gershwin es instrumentista en el/la, piano,"
"
Manos Hatzidakis es instrumentista en el/la, piano, grupo
Gina Birch es instrumentista en el/la, guitar, grupo
Gina Birch es instrumentista en el/la,ra,/s
Cheyenne Kimball es instrumentista en el/la, guitar, grupo
Cheyenne Kimball es instrumentista en el/la,ra,/s
Peter Head es instrumentista en el/la, piano, grupo
Alberto Nepomuceno es instrumentista en el/la, piano, grupo
Idrees Sulieman es instrumentista en el/la, trom, grupo
Idrees Sulieman es instrumentista en el/la,p,/s
Idrees Sulieman es instrumentista en el/la,eta,:
Steve Marriott es instrumentista en el/la, guitar, canc
Steve Marriott es instrumentista en el/la,ra,ión
Harold Craxton es instrumentista en el/la, piano, grupo
Martin Gordon es instrumentista en el/la, piano, grupo
Jeanne Lamon es instrumentista en el/la, viol,"
"
Jeanne Lamon es instrumentista en el/la,ín,*
George Martin es instrumentista en el/la, piano,"
"
Michael Mantler es instrumentista en el/la, trom, grupo
Michael Mantler es instrumentista en el/la,p,/s
Michael Mantler es instrumentista en el/la,eta,:
Yuriy Oliynyk es instrumentista en el/la, piano,"
"
Nita Strauss es instrumentista en el/la, guitar, banda
Nita Strauss es instrumentista en el/la,ra, de
Ma Sicong es instrumentista en el/la, viol, grupo
Ma Sicong es instrumentista en el/la,ín,/s
Ted Dwane es instrumentista en el/la, guitar,"
"
Ted Dwane es instrumentista en el/la,ra,*
Pete Lesperance es instrumentista en el/la, guitar, grupo
Pete Lesperance es instrumentista en el/la,ra,/s
Melvyn Gale es instrumentista en el/la, piano, grupo
Rick Braun es instrumentista en el/la, trom, grupo
Rick Braun es instrumentista en el/la,p,/s
Rick Braun es instrumentista en el/la,eta,:
Franz Liszt es instrumentista en el/la, piano,"
"
Bud Scott es instrumentista en el/la, guitar, grupo
Bud Scott es instrumentista en el/la,ra,/s
Itzhak Perlman es instrumentista en el/la, viol,"
"
Itzhak Perlman es instrumentista en el/la,ín,*
Alice Coltrane es instrumentista en el/la, piano,"
"
Maud Powell es instrumentista en el/la, viol,"
"
Maud Powell es instrumentista en el/la,ín,*
Elvis Presley es instrumentista en el/la, guitar,"
"
Elvis Presley es instrumentista en el/la,ra,El
Geirr Tveitt es instrumentista en el/la, piano,"
"
Mercer Ellington es instrumentista en el/la, trom,"
"
Mercer Ellington es instrumentista en el/la,p,*
Mercer Ellington es instrumentista en el/la,eta, 
Clifford Curzon es instrumentista en el/la, piano, grupo
Russell Gunn es instrumentista en el/la, trom, grupo
Russell Gunn es instrumentista en el/la,p,/s
Russell Gunn es instrumentista en el/la,eta,:
Brian May es instrumentista en el/la, guitar,"
"
Brian May es instrumentista en el/la,ra,*
Yfrah Neaman es instrumentista en el/la, viol,"
"
Yfrah Neaman es instrumentista en el/la,ín,*
Vlatko Stefanovski es instrumentista en el/la, guitar, grupo
Vlatko Stefanovski es instrumentista en el/la,ra,/s
Yvonne Hubert es instrumentista en el/la, piano, grupo
Friedrich Gulda es instrumentista en el/la, piano,"
"
Dave Hernandez es instrumentista en el/la, guitar, grupo
Dave Hernandez es instrumentista en el/la,ra,/s
Wolfgang Sawallisch es instrumentista en el/la, piano,"
"
Sheryl Crow es instrumentista en el/la, guitar, canc
Sheryl Crow es instrumentista en el/la,ra,ión
Cat Stevens es instrumentista en el/la, guitar, canc
Cat Stevens es instrumentista en el/la,ra,ión
Toshiko Akiyoshi es instrumentista en el/la, piano, á
Curley Weaver es instrumentista en el/la, guitar,"
"
Curley Weaver es instrumentista en el/la,ra,*
Cyril Scott es instrumentista en el/la, piano,"
"
Al Haig es instrumentista en el/la, piano, grupo
Britney Spears es instrumentista en el/la, c, canc
Britney Spears es instrumentista en el/la,anto,ión
Millard Powers es instrumentista en el/la, piano, grupo
Ingrid Jensen es instrumentista en el/la, trom, grupo
Ingrid Jensen es instrumentista en el/la,p,/s
Ingrid Jensen es instrumentista en el/la,eta,:
Anna Yesipova es instrumentista en el/la, piano, or
Julian Lennon es instrumentista en el/la, guitar, grupo
Julian Lennon es instrumentista en el/la,ra,/s
Noel Mewton-Wood es instrumentista en el/la, piano, grupo
Shmuel Ashkenasi es instrumentista en el/la, viol, grupo
Shmuel Ashkenasi es instrumentista en el/la,ín, de
Soozie Tyrell es instrumentista en el/la, viol, grupo
Soozie Tyrell es instrumentista en el/la,ín,/s
Liam Gallagher es instrumentista en el/la, guitar, canc
Liam Gallagher es instrumentista en el/la,ra,ión
George Duke es instrumentista en el/la, piano, grupo
Tony Ashton es instrumentista en el/la, piano, grupo
Ludovico Einaudi es instrumentista en el/la, piano,"
"
