prompt,answer_token,predicted_top1_token
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Alphabet steht unter der Leitung von CEO", Sund, Sund
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Alphabet steht unter der Leitung von CEO",ar,ar
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Alphabet steht unter der Leitung von CEO", P, P
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Alphabet steht unter der Leitung von CEO",ich,ich
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Alphabet steht unter der Leitung von CEO",ai,ai
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Tesla steht unter der Leitung von CEO", Elon, Elon
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Tesla steht unter der Leitung von CEO", Musk, Musk
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
NVIDIA steht unter der Leitung von CEO", Jensen, Jensen
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
NVIDIA steht unter der Leitung von CEO", Huang, Huang
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Meta steht unter der Leitung von CEO", Mark, Mark
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Meta steht unter der Leitung von CEO", Zuckerberg, Zuckerberg
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
China Construction Bank steht unter der Leitung von CEO", Yi, Gu
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
China Construction Bank steht unter der Leitung von CEO", Gang,o
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Alibaba steht unter der Leitung von CEO", Daniel, Daniel
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Alibaba steht unter der Leitung von CEO", Zhang, Zhang
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Goldman Sachs steht unter der Leitung von CEO", David, David
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Goldman Sachs steht unter der Leitung von CEO", Solomon, Solomon
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Nasdaq steht unter der Leitung von CEO", Ad, Ad
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Nasdaq steht unter der Leitung von CEO",ena,ena
"YouTube steht unter der Leitung von CEO Neal Mohan.
Stripe steht unter der Leitung von CEO Patrick Collison.
Spotify steht unter der Leitung von CEO Daniel Ek.
Airbnb steht unter der Leitung von CEO Brian Chesky.
OpenAI steht unter der Leitung von CEO Sam Altman.
BioNTech steht unter der Leitung von CEO Uğur Şahin.
Klarna steht unter der Leitung von CEO Sebastian Siemiatkowski.
TikTok steht unter der Leitung von CEO Shou Zi Chew.
IKEA steht unter der Leitung von CEO Jesper Brodin.
Revolut steht unter der Leitung von CEO Nikolay Storonsky.
Nasdaq steht unter der Leitung von CEO", Fried, Friedman
