prompt,answer_token,predicted_top1_token
"B.B. King é instrumentista no/na guitarra.
Toko Yasuda é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Toko Yasuda é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Tom Fletcher é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Tom Fletcher é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Mark Isham é instrumentista no/na", trom, trom
"B.B. King é instrumentista no/na guitarra.
Mark Isham é instrumentista no/na",pet,pet
"B.B. King é instrumentista no/na guitarra.
Mark Isham é instrumentista no/na",e,e
"B.B. King é instrumentista no/na guitarra.
Alain Lanty é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Victor Merzhanov é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Tom Waits é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Micko Larkin é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Micko Larkin é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Keith Emerson é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Glen Ballard é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Glen Ballard é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Terry Trotter é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Roy Paci é instrumentista no/na", trom, guitar
"B.B. King é instrumentista no/na guitarra.
Roy Paci é instrumentista no/na",pet,ra
"B.B. King é instrumentista no/na guitarra.
Roy Paci é instrumentista no/na",e,".
"
"B.B. King é instrumentista no/na guitarra.
Vitaly Margulis é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Josephine Wiggs é instrumentista no/na", guitar, ba
"B.B. King é instrumentista no/na guitarra.
Josephine Wiggs é instrumentista no/na",ra,ixo
"B.B. King é instrumentista no/na guitarra.
Johan De Farfalla é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Johan De Farfalla é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Mike Scaccia é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Mike Scaccia é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Arthur Grumiaux é instrumentista no/na", piano, viol
"B.B. King é instrumentista no/na guitarra.
Larry Knechtel é instrumentista no/na", guitar, piano
"B.B. King é instrumentista no/na guitarra.
Larry Knechtel é instrumentista no/na",ra,".
"
"B.B. King é instrumentista no/na guitarra.
Andor Toth é instrumentista no/na", viol, guitar
"B.B. King é instrumentista no/na guitarra.
Andor Toth é instrumentista no/na",ino,ra
"B.B. King é instrumentista no/na guitarra.
John Cipollina é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
John Cipollina é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Robert Fripp é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Robert Fripp é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Gidon Kremer é instrumentista no/na", viol, viol
"B.B. King é instrumentista no/na guitarra.
Gidon Kremer é instrumentista no/na",ino,ino
"B.B. King é instrumentista no/na guitarra.
Kye Palmer é instrumentista no/na", trom, guitar
"B.B. King é instrumentista no/na guitarra.
Kye Palmer é instrumentista no/na",pet,ra
"B.B. King é instrumentista no/na guitarra.
Kye Palmer é instrumentista no/na",e,".
"
"B.B. King é instrumentista no/na guitarra.
Heather Trost é instrumentista no/na", viol, guitar
"B.B. King é instrumentista no/na guitarra.
Heather Trost é instrumentista no/na",ino,ra
"B.B. King é instrumentista no/na guitarra.
Nick Didkovsky é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Nick Didkovsky é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Herbie Nichols é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Jean-Jacques Goldman é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
John Fogerty é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
John Fogerty é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Matthieu Chedid é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Matthieu Chedid é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Roger Ingram é instrumentista no/na", trom, guitar
"B.B. King é instrumentista no/na guitarra.
Roger Ingram é instrumentista no/na",pet,ra
"B.B. King é instrumentista no/na guitarra.
Roger Ingram é instrumentista no/na",e,".
"
"B.B. King é instrumentista no/na guitarra.
Brad Delson é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Brad Delson é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Pepeu Gomes é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Pepeu Gomes é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Hilary Hahn é instrumentista no/na", viol, viol
"B.B. King é instrumentista no/na guitarra.
Hilary Hahn é instrumentista no/na",ino,ino
"B.B. King é instrumentista no/na guitarra.
Chris Daughtry é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Chris Daughtry é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Lil Hardin Armstrong é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Dizzy Reed é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Mark O'Connor é instrumentista no/na", viol, viol
"B.B. King é instrumentista no/na guitarra.
Mark O'Connor é instrumentista no/na",ino,ino
"B.B. King é instrumentista no/na guitarra.
Meshell Ndegeocello é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Meshell Ndegeocello é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Chris Thile é instrumentista no/na", guitar, viol
"B.B. King é instrumentista no/na guitarra.
Chris Thile é instrumentista no/na",ra,a
"B.B. King é instrumentista no/na guitarra.
Tadd Dameron é instrumentista no/na", piano, sax
"B.B. King é instrumentista no/na guitarra.
Drew Shirley é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Drew Shirley é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Charlie Palmieri é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
James Honeyman-Scott é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
James Honeyman-Scott é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Sarah Cahill é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Luigi Dallapiccola é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Darol Anger é instrumentista no/na", viol, viol
"B.B. King é instrumentista no/na guitarra.
Darol Anger é instrumentista no/na",ino,a
"B.B. King é instrumentista no/na guitarra.
Pete Johnson é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Bert Joris é instrumentista no/na", trom, guitar
"B.B. King é instrumentista no/na guitarra.
Bert Joris é instrumentista no/na",pet,ra
"B.B. King é instrumentista no/na guitarra.
Bert Joris é instrumentista no/na",e,".
"
"B.B. King é instrumentista no/na guitarra.
Raimonds Pauls é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
David Gates é instrumentista no/na", viol, guitar
"B.B. King é instrumentista no/na guitarra.
David Gates é instrumentista no/na",ino,ra
"B.B. King é instrumentista no/na guitarra.
The Edge é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
The Edge é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
George Gershwin é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Manos Hatzidakis é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Gina Birch é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Gina Birch é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Cheyenne Kimball é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Cheyenne Kimball é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Peter Head é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Alberto Nepomuceno é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Idrees Sulieman é instrumentista no/na", trom, trom
"B.B. King é instrumentista no/na guitarra.
Idrees Sulieman é instrumentista no/na",pet,pet
"B.B. King é instrumentista no/na guitarra.
Idrees Sulieman é instrumentista no/na",e,e
"B.B. King é instrumentista no/na guitarra.
Steve Marriott é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Steve Marriott é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Harold Craxton é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Martin Gordon é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Jeanne Lamon é instrumentista no/na", viol, viol
"B.B. King é instrumentista no/na guitarra.
Jeanne Lamon é instrumentista no/na",ino,a
"B.B. King é instrumentista no/na guitarra.
George Martin é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Michael Mantler é instrumentista no/na", trom, trom
"B.B. King é instrumentista no/na guitarra.
Michael Mantler é instrumentista no/na",pet,pet
"B.B. King é instrumentista no/na guitarra.
Michael Mantler é instrumentista no/na",e,e
"B.B. King é instrumentista no/na guitarra.
Yuriy Oliynyk é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Nita Strauss é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Nita Strauss é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Ma Sicong é instrumentista no/na", viol, guitar
"B.B. King é instrumentista no/na guitarra.
Ma Sicong é instrumentista no/na",ino,ra
"B.B. King é instrumentista no/na guitarra.
Ted Dwane é instrumentista no/na", guitar, ba
"B.B. King é instrumentista no/na guitarra.
Ted Dwane é instrumentista no/na",ra,ixo
"B.B. King é instrumentista no/na guitarra.
Pete Lesperance é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Pete Lesperance é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Melvyn Gale é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Rick Braun é instrumentista no/na", trom, trom
"B.B. King é instrumentista no/na guitarra.
Rick Braun é instrumentista no/na",pet,pet
"B.B. King é instrumentista no/na guitarra.
Rick Braun é instrumentista no/na",e,e
"B.B. King é instrumentista no/na guitarra.
Franz Liszt é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Bud Scott é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Bud Scott é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Itzhak Perlman é instrumentista no/na", viol, viol
"B.B. King é instrumentista no/na guitarra.
Itzhak Perlman é instrumentista no/na",ino,ino
"B.B. King é instrumentista no/na guitarra.
Alice Coltrane é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Maud Powell é instrumentista no/na", viol, viol
"B.B. King é instrumentista no/na guitarra.
Maud Powell é instrumentista no/na",ino,ino
"B.B. King é instrumentista no/na guitarra.
Elvis Presley é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Elvis Presley é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Geirr Tveitt é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Mercer Ellington é instrumentista no/na", trom, trom
"B.B. King é instrumentista no/na guitarra.
Mercer Ellington é instrumentista no/na",pet,pet
"B.B. King é instrumentista no/na guitarra.
Mercer Ellington é instrumentista no/na",e,e
"B.B. King é instrumentista no/na guitarra.
Clifford Curzon é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Russell Gunn é instrumentista no/na", trom, trom
"B.B. King é instrumentista no/na guitarra.
Russell Gunn é instrumentista no/na",pet,pet
"B.B. King é instrumentista no/na guitarra.
Russell Gunn é instrumentista no/na",e,e
"B.B. King é instrumentista no/na guitarra.
Brian May é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Brian May é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Yfrah Neaman é instrumentista no/na", viol, sax
"B.B. King é instrumentista no/na guitarra.
Yfrah Neaman é instrumentista no/na",ino,of
"B.B. King é instrumentista no/na guitarra.
Vlatko Stefanovski é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Vlatko Stefanovski é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Yvonne Hubert é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Friedrich Gulda é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Dave Hernandez é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Dave Hernandez é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Wolfgang Sawallisch é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Sheryl Crow é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Sheryl Crow é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Cat Stevens é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Cat Stevens é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Toshiko Akiyoshi é instrumentista no/na", piano, piano
"B.B. King é instrumentista no/na guitarra.
Curley Weaver é instrumentista no/na", guitar, guitar
"B.B. King é instrumentista no/na guitarra.
Curley Weaver é instrumentista no/na",ra,ra
"B.B. King é instrumentista no/na guitarra.
Cyril Scott é instrumentista no/na", piano, guitar
"B.B. King é instrumentista no/na guitarra.
Al Haig é instrumentista no/na", piano, piano
