prompt,answer_token,predicted_top1_token
Der echte Name von Superman ist, Clark, Kal
Der echte Name von Superman ist, Kent,-
Der echte Name von Batman ist, Bruce, Bruce
Der echte Name von Batman ist, Wayne, Wayne
Der echte Name von Wonder Woman ist, Diana, Diana
Der echte Name von Wonder Woman ist, Prince, Prince
Der echte Name von Spider-Man ist, Peter, Peter
Der echte Name von Spider-Man ist, Parker, Parker
Der echte Name von Iron Man ist, Tony, Tony
Der echte Name von Iron Man ist, Stark, Stark
Der echte Name von Captain America ist, Steve, Steve
Der echte Name von Captain America ist, Rogers, Rogers
Der echte Name von The Flash ist, Barry, Barry
Der echte Name von The Flash ist, Allen, Allen
Der echte Name von Green Lantern ist, Hal, Hal
Der echte Name von Green Lantern ist, Jordan, Jordan
Der echte Name von Green Arrow ist, Oliver, Oliver
Der echte Name von Green Arrow ist, Queen, Queen
Der echte Name von Aquaman ist, Arthur, Arthur
Der echte Name von Aquaman ist, Curry, Curry
Der echte Name von Daredevil ist, Matt, Matt
Der echte Name von Daredevil ist, Mur, Mur
Der echte Name von Daredevil ist,dock,dock
Der echte Name von Cyclops ist, Scott, Cyc
Der echte Name von Cyclops ist, Summers,lops
Der echte Name von Storm ist, Or, Storm
Der echte Name von Storm ist,oro,","
Der echte Name von Storm ist, Mun, der
Der echte Name von Storm ist,roe, Name
Der echte Name von Mr. Fantastic ist, Reed, Reed
Der echte Name von Mr. Fantastic ist, Richards, Richards
Der echte Name von Invisible Woman ist, Sue, Susan
Der echte Name von Invisible Woman ist, Storm, Storm
Der echte Name von Human Torch ist, Johnny, Jim
Der echte Name von Human Torch ist, Storm, Hammond
Der echte Name von The Thing ist, Ben, The
Der echte Name von The Thing ist, Grimm, Thing
Der echte Name von Kid Flash ist, W, W
Der echte Name von Kid Flash ist,ally,ally
Der echte Name von Kid Flash ist, West, West
Der echte Name von Nightwing ist, Dick, Dick
Der echte Name von Nightwing ist, Gray, Gray
Der echte Name von Nightwing ist,son,son
Der echte Name von Shazam ist, Billy, Billy
