prompt,answer_token,predicted_top1_token
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de grande é", maior, mais
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de pequeno é", menor, mais
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de alto é", mais, mais
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de alto é", alto, alto
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de curto é", mais, mais
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de curto é", cur, cur
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de curto é",to,to
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de longo é", mais, mais
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de longo é", long, long
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de longo é",o,o
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de rápido é", mais, mais
"A forma comparativa de engraçado é mais engraçado.
A forma comparativa de eficiente é mais eficiente.
A forma comparativa de amigável é mais amigável.
A forma comparativa de popular é mais popular.
A forma comparativa de rápido é", rápido, rápido
