prompt,answer_token,predicted_top1_token
O oposto de amoroso é, od, o
O oposto de amoroso é,ioso, ó
O oposto de criador é, de, o
O oposto de criador é,str, que
O oposto de criador é,uid, é
O oposto de criador é,or, cri
O oposto de feliz é, tr, o
O oposto de feliz é,iste, que
O oposto de cheio é, v, o
O oposto de cheio é,azio, op
O oposto de corajoso é, cov, cov
O oposto de corajoso é,arde,arde
O oposto de aberto é, fe, fe
O oposto de aberto é,ch,ch
O oposto de aberto é,ado,ado
O oposto de seguro é, per, o
O oposto de seguro é,ig, r
O oposto de seguro é,oso,isco
O oposto de belo é, fe, o
O oposto de belo é,io, fe
O oposto de amigo é, in, in
O oposto de amigo é,im,im
O oposto de amigo é,igo,igo
O oposto de diurno é, not, not
O oposto de diurno é,urn,urn
O oposto de diurno é,o,o
O oposto de comprador é, v, o
O oposto de comprador é,endedor, v
O oposto de grande é, pequ, o
O oposto de grande é,eno, pequ
O oposto de velho é, jov, o
O oposto de velho é,em, novo
O oposto de silencioso é, bar, o
O oposto de silencioso é,ul, sil
O oposto de silencioso é,h,enc
O oposto de silencioso é,ento,ioso
O oposto de verdadeiro é, f, f
O oposto de verdadeiro é,also,also
O oposto de rápido é, dev, l
O oposto de rápido é,agar,ento
O oposto de quente é, fri, fri
O oposto de quente é,o,o
O oposto de bom é, mau, bom
O oposto de inicial é, final, o
O oposto de interno é, extern, o
O oposto de interno é,o, op
O oposto de vitorioso é, per, o
O oposto de vitorioso é,ded, v
O oposto de vitorioso é,or,enc
O oposto de generoso é, ego, o
O oposto de generoso é,í, op
O oposto de generoso é,sta,osto
O oposto de claro é, esc, o
O oposto de claro é,uro, op
O oposto de saudável é, do, a
O oposto de saudável é,ente, doen
O oposto de limpo é, su, o
O oposto de limpo é,jo, que
O oposto de certo é, err, o
O oposto de certo é,ado, que
O oposto de acima é, abaixo, a
O oposto de forte é, fr, o
O oposto de forte é,aco, op
O oposto de zangado é, ir, o
O oposto de zangado é,ado, que
O oposto de alto é, ba, o
O oposto de alto é,ixo, op
O oposto de sábio é, to, o
O oposto de sábio é,lo, ignor
O oposto de conectado é, descon, o
O oposto de conectado é,ect, op
O oposto de conectado é,ado,osto
O oposto de macio é, duro, o
O oposto de sim é, não, o
O oposto de liso é, á, o
O oposto de liso é,s, op
O oposto de liso é,per,osto
O oposto de liso é,o, de
O oposto de frontal é, posterior, o
O oposto de indulgente é, culp, o
O oposto de indulgente é,ador, que
O oposto de simples é, complex, o
O oposto de simples é,o, op
O oposto de aberto é, fe, fe
O oposto de aberto é,ch,ch
O oposto de aberto é,ado,ado
O oposto de raso é, prof, o
