prompt,answer_token,predicted_top1_token
La capitale de États-Unis est, Washington, Washington
La capitale de Canada est, Ottawa, situ
La capitale de Mexique est, Mexico, situ
La capitale de Argentine est, Buenos, Buenos
La capitale de Argentine est, Aires, Aires
La capitale de Chili est, Santiago, Santiago
La capitale de Pérou est, Lima, Lima
La capitale de Venezuela est, Car, Car
La capitale de Venezuela est,acas,acas
La capitale de Espagne est, Madrid, Madrid
La capitale de France est, Paris, Paris
La capitale de Allemagne est, Berlin, Berlin
La capitale de Italie est, Rome, Rome
La capitale de Russie est, Mos, situ
La capitale de Russie est,cou,ée
La capitale de république populaire de Chine est, Pé, Pé
La capitale de république populaire de Chine est,kin,kin
La capitale de Japon est, Tokyo, Tokyo
La capitale de Corée du Sud est, Sé, Sé
La capitale de Corée du Sud est,oul,oul
La capitale de Inde est, New, New
La capitale de Inde est, Delhi, Delhi
La capitale de Pakistan est, Islamabad, Islamabad
La capitale de Nigeria est, Abu, Lagos
La capitale de Nigeria est,ja,","
La capitale de Égypte est, Le, le
La capitale de Égypte est, C, C
La capitale de Égypte est,aire,aire
La capitale de Arabie saoudite est, Riy, Riy
La capitale de Arabie saoudite est,ad,ad
La capitale de Turquie est, Ankara, Istanbul
La capitale de Australie est, Canberra, Sydney
