prompt,answer_token,predicted_top1_token
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Superman è", Clark, Kal
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Superman è", Kent,-
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Batman è", Bruce, Bruce
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Batman è", Wayne, Wayne
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Wonder Woman è", Diana, Diana
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Wonder Woman è", Prince, Prince
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Spider-Man è", Peter, Peter
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Spider-Man è", Parker, Parker
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Iron Man è", Tony, Tony
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Iron Man è", Stark, Stark
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Captain America è", Steve, Steve
"Il vero nome di Moon Knight è Marc Spector.
Il vero nome di Doctor Fate è Kent Nelson.
Il vero nome di Nova è Richard Rider.
Il vero nome di Captain Atom è Nathaniel Adam.
Il vero nome di Captain America è", Rogers, Rogers
