prompt,answer_token,predicted_top1_token
BEND ends with the letter, D, E
HEAVY ends with the letter, Y, H
BEAUTIFUL ends with the letter, L, L
ASK ends with the letter, K," """
EXPAND ends with the letter, D," """
FRONT ends with the letter, T," """
TOUGH ends with the letter, H, “
KIND ends with the letter, D, K
GO ends with the letter, O," """
SURGERY ends with the letter, Y, S
PAST ends with the letter, T," """
INSIDE ends with the letter, E," """
ENTER ends with the letter, R," """
BEGIN ends with the letter, N, '
VANISH ends with the letter, H, A
FALL ends with the letter, L," """
CRAZY ends with the letter, Y," """
FORGET ends with the letter, T," """
FROWN ends with the letter, N, F
GREAT ends with the letter, T, E
LEARN ends with the letter, N, E
SMOOTH ends with the letter, H, O
WIDE ends with the letter, E, E
AIRPLANE ends with the letter, E, A
WRONG ends with the letter, G," """
DANCE ends with the letter, E, D
WIN ends with the letter, N," """
BELIEVE ends with the letter, E, E
CONCERT ends with the letter, T, “
BICYCLE ends with the letter, E, B
STALE ends with the letter, E, E
LIBRARY ends with the letter, Y," """
CALL ends with the letter, L," """
GIVE ends with the letter, E, E
KNOW ends with the letter, W, O
CLIMB ends with the letter, B, C
FRESH ends with the letter, H, F
LOOK ends with the letter, K, “
OLD ends with the letter, D," """
GYM ends with the letter, M, Y
HIGH ends with the letter, H, E
DECIDE ends with the letter, E, E
CHOOSE ends with the letter, E, '
WANT ends with the letter, T, W
LOUD ends with the letter, D," """
WALK ends with the letter, K, W
BOX ends with the letter, X," """
RUDE ends with the letter, E, E
MACHINE ends with the letter, E," """
CALM ends with the letter, M, A
RIGHT ends with the letter, T, E
INCLUDE ends with the letter, E, '
FALSE ends with the letter, E," """
WHISPER ends with the letter, R, S
DEEP ends with the letter, P, “
FILM ends with the letter, M, F
LAUGH ends with the letter, H, A
SOUR ends with the letter, R, S
BLESS ends with the letter, S, S
DIRTY ends with the letter, Y, '
LITTLE ends with the letter, E, L
BUILD ends with the letter, D," """
EDUCATION ends with the letter, N, E
