prompt,answer_token,predicted_top1_token
Die Hauptstadt von Vereinigte Staaten ist, Washington, Washington
Die Hauptstadt von Vereinigte Staaten ist,",",","
Die Hauptstadt von Vereinigte Staaten ist, D, D
Die Hauptstadt von Vereinigte Staaten ist,.C,.C
Die Hauptstadt von Vereinigte Staaten ist,.,.
Die Hauptstadt von Kanada ist, Ottawa, Ottawa
Die Hauptstadt von Mexiko ist, Mex, Mex
Die Hauptstadt von Mexiko ist,iko,iko
Die Hauptstadt von Mexiko ist,-St,-St
Die Hauptstadt von Mexiko ist,adt,adt
Die Hauptstadt von Argentinien ist, Buenos, Buenos
Die Hauptstadt von Argentinien ist, Aires, Aires
Die Hauptstadt von Chile ist, Santiago, Santiago
Die Hauptstadt von Chile ist, de,.
Die Hauptstadt von Chile ist, Chile, Santiago
Die Hauptstadt von Peru ist, Lima, Lima
Die Hauptstadt von Venezuela ist, Car, Car
Die Hauptstadt von Venezuela ist,acas,acas
Die Hauptstadt von Spanien ist, Madrid, Madrid
Die Hauptstadt von Frankreich ist, Paris, Paris
Die Hauptstadt von Deutschland ist, Berlin, Berlin
Die Hauptstadt von Italien ist, Rom, Rom
Die Hauptstadt von Russland ist, Mos, Mos
Die Hauptstadt von Russland ist,k,k
Die Hauptstadt von Russland ist,au,au
Die Hauptstadt von Volksrepublik China ist, P, P
Die Hauptstadt von Volksrepublik China ist,eking,eking
Die Hauptstadt von Japan ist, Tok, Tok
Die Hauptstadt von Japan ist,io,io
Die Hauptstadt von Südkorea ist, Seoul, Seoul
Die Hauptstadt von Indien ist, Neu, seit
Die Hauptstadt von Indien ist,-D, 
Die Hauptstadt von Indien ist,el,191
Die Hauptstadt von Indien ist,hi,1
Die Hauptstadt von Pakistan ist, Islamabad, Islamabad
Die Hauptstadt von Nigeria ist, Abu, Lagos
Die Hauptstadt von Nigeria ist,ja,.
Die Hauptstadt von Ägypten ist, K, K
Die Hauptstadt von Ägypten ist,airo,airo
Die Hauptstadt von Saudi-Arabien ist, Ri, die
Die Hauptstadt von Saudi-Arabien ist,ad, Stadt
Die Hauptstadt von Türkei ist, Ankara, Istanbul
Die Hauptstadt von Australien ist, Canberra, Canberra
