prompt,answer_token,predicted_top1_token
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Percy Snow joue en tant que", linebacker, linebacker
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Pantelis Kafes joue en tant que", milieu, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Pantelis Kafes joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Pantelis Kafes joue en tant que", terrain, basket
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Ruud Gullit joue en tant que", milieu, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Ruud Gullit joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Ruud Gullit joue en tant que", terrain, football
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Elrio van Heerden joue en tant que", milieu, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Elrio van Heerden joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Elrio van Heerden joue en tant que", terrain, rugby
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Lars Ricken joue en tant que", milieu, gard
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Lars Ricken joue en tant que", de,ien
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Lars Ricken joue en tant que", terrain, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Tuukka Rask joue en tant que", gard, gard
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Tuukka Rask joue en tant que",ien,ien
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Tuukka Rask joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Tuukka Rask joue en tant que", but, but
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Karl Mecklenburg joue en tant que", linebacker, linebacker
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Iosif Rotariu joue en tant que", milieu, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Iosif Rotariu joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Iosif Rotariu joue en tant que", terrain, football
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, John Navarre joue en tant que", quarterback, quarterback
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Thurman Munson joue en tant que", rece, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Thurman Munson joue en tant que",ve, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Thurman Munson joue en tant que",ur, champ
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Evan Dimas Darmono joue en tant que", milieu, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Evan Dimas Darmono joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Evan Dimas Darmono joue en tant que", terrain, football
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Jonathan Osorio joue en tant que", milieu, milieu
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Jonathan Osorio joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Jonathan Osorio joue en tant que", terrain, terrain
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Martina Voss-Tecklenburg joue en tant que", milieu, ath
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Martina Voss-Tecklenburg joue en tant que", de,l
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Martina Voss-Tecklenburg joue en tant que", terrain,ète
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Nigel de Jong joue en tant que", milieu, milieu
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Nigel de Jong joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Nigel de Jong joue en tant que", terrain, terrain
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Corky Miller joue en tant que", rece, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Corky Miller joue en tant que",ve, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Corky Miller joue en tant que",ur, baseball
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Antonio Valencia joue en tant que", milieu, joueur
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Antonio Valencia joue en tant que", de, de
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Antonio Valencia joue en tant que", terrain, football
"Dans son sport, Patrick Mahomes joue en tant que quarterback.
Dans son sport, Tarvaris Jackson joue en tant que", quarterback, quarterback
