prompt,answer_token,predicted_top1_token
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de perguntar é", perg, perg
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de perguntar é",unt,unt
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de perguntar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de acreditar é", a, a
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de acreditar é",credit,credit
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de acreditar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de quebrar é", que, que
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de quebrar é",b,b
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de quebrar é",rou,rou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de trazer é", trou, trou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de trazer é",xe,xe
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de construir é", constr, constr
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de construir é",ui,ui
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de construir é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de chamar é", cham, cham
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de chamar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de pegar é", peg, peg
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de pegar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de mudar é", mud, mud
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de mudar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de escolher é", escol, escol
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de escolher é",he,he
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de escolher é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de limpar é", limp, limp
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de limpar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de escalar é", escal, escal
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de escalar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de fechar é", fe, fe
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de fechar é",ch,ch
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de fechar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de vir é", ve, ve
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de vir é",io,io
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de chorar é", chor, chor
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de chorar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de cortar é", cort, cort
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de cortar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dançar é", dan, dan
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dançar é",ç,ç
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dançar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de decidir é", dec, dec
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de decidir é",idi,idi
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de decidir é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de fazer é", fe, fe
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de fazer é",z,z
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dirigir é", dirig, dirig
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dirigir é",iu,iu
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de beber é", be, be
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de beber é",be,be
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de beber é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de comer é", come, come
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de comer é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de cair é", c, c
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de cair é",ai,ai
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de cair é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de terminar é", termin, termin
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de terminar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de encontrar é", encontr, encontr
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de encontrar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de voar é", vo, vo
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de voar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de seguir é", seg, seg
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de seguir é",ui,ui
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de seguir é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de esquecer é", es, es
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de esquecer é",que,que
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de esquecer é",ceu,ceu
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de franzir é", fran, fr
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de franzir é",zi,anz
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de franzir é",u,iu
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de obter é", ob, ob
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de obter é",te,te
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de obter é",ve,ve
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dar é", de, de
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dar é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ir é", foi, foi
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de odiar é", o, o
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de odiar é",di,di
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de odiar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ter é", te, te
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ter é",ve,ve
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ouvir é", ou, ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ouvir é",vi,vi
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ajudar é", ajud, ajud
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ajudar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de bater é", b, b
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de bater é",ate,ate
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de bater é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de pular é", pul, pul
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de pular é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de saber é", sou, sab
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de saber é",be,ia
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de rir é", r, r
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de rir é",iu,iu
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de aprender é", aprend, aprend
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de aprender é",eu,i
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de deixar é", deix, deix
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de deixar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de gostar é", gost, gost
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de gostar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de viver é", vive, vive
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de viver é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de olhar é", ol, ol
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de olhar é",hou,hou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de perder é", per, per
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de perder é",de,di
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de perder é",u,".
"
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de amar é", am, am
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de amar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de fazer é", fe, fe
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de fazer é",z,z
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de encontrar é", encontr, encontr
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de encontrar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de precisar é", precis, precis
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de precisar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de abrir é", ab, ab
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de abrir é",ri,ri
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de abrir é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de jogar é", jog, jog
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de jogar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ler é", le, le
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ler é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de lembrar é", le, lem
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de lembrar é",mb,br
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de lembrar é",rou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de correr é", corre, corre
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de correr é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dizer é", disse, disse
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ver é", vi, vi
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ver é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sacudir é", sac, sac
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sacudir é",ud,ud
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sacudir é",iu,iu
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sentar é", sent, sent
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sentar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dormir é", dorm, dorm
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de dormir é",iu,iu
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sorrir é", sor, sor
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sorrir é",ri,ri
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de sorrir é",u,u
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de falar é", fal, fal
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de falar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de começar é", começ, começ
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de começar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ficar é", fic, fic
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de ficar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de estudar é", estud, estud
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de estudar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de nadar é", nad, nad
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de nadar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de tomar é", tom, tom
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de tomar é",ou,ou
"O passado de iniciar é iniciou.
O passado de morder é mordeu.
O passado de sangrar é sangrou.
O passado de falar é", fal, fal
