prompt,answer_token,predicted_top1_token
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Superman est", Lex, Lex
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Superman est", L, L
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Superman est",uthor,uthor
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Batman est", The, The
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Batman est", Joker, Joker
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Wonder Woman est", C, A
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Wonder Woman est",heet,res
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Wonder Woman est",ah,".
"
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Spider-Man est", Green, The
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Spider-Man est", Goblin, L
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros The Flash est", Reverse, Zoom
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros The Flash est",-,".
"
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros The Flash est",Flash,L
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Green Lantern est", Sin, Sin
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Green Lantern est",estro,estro
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Captain America est", Red, Red
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Captain America est", Skull, Skull
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Iron Man est", The, Ob
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Iron Man est", Mandarin,ad
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Thor est", Loki, Loki
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Black Panther est", Kill, K
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Black Panther est",mong,law
"L'ennemi juré du super-héros Nova est Annihilus.
L'ennemi juré du super-héros Sentry est The Void.
L'ennemi juré du super-héros Batwoman est Alice.
L'ennemi juré du super-héros Black Panther est",er,".
"
