prompt,answer_token,predicted_top1_token
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Michelle Obama frequentou a universidade de", Univers, Univers
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Michelle Obama frequentou a universidade de",idade,idade
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Michelle Obama frequentou a universidade de", de, de
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Michelle Obama frequentou a universidade de", Princeton, Princeton
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Bill Gates frequentou a universidade de", Univers, Univers
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Bill Gates frequentou a universidade de",idade,idade
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Bill Gates frequentou a universidade de", Harvard, Harvard
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Mark Zuckerberg frequentou a universidade de", Univers, Univers
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Mark Zuckerberg frequentou a universidade de",idade,idade
"Elon Musk frequentou a universidade de Universidade da Pensilvânia.
Angela Davis frequentou a universidade de Universidade da Califórnia em San Diego.
Tim Cook frequentou a universidade de Universidade Duke.
Jacinda Ardern frequentou a universidade de Universidade de Waikato.
Olaf Scholz frequentou a universidade de Universidade de Hamburgo.
Stephen Colbert frequentou a universidade de Universidade Northwestern.
Alexandria Ocasio-Cortez frequentou a universidade de Universidade de Boston.
Malala Yousafzai frequentou a universidade de Universidade de Oxford.
Sheryl Sandberg frequentou a universidade de Universidade de Harvard.
Ken Jeong frequentou a universidade de Universidade da Carolina do Norte em Chapel Hill.
Mark Zuckerberg frequentou a universidade de", Harvard, da
