prompt,answer_token,predicted_top1_token
กรือวึยรีห์ ตั้งอยู่บนทวีป, ท,ย
กรือวึยรีห์ ตั้งอยู่บนทวีป,ว,ุ
กรือวึยรีห์ ตั้งอยู่บนทวีป,ีป,โร
กรือวึยรีห์ ตั้งอยู่บนทวีป,ย,ป
กรือวึยรีห์ ตั้งอยู่บนทวีป,ุ, ใน
กรือวึยรีห์ ตั้งอยู่บนทวีป,โร,ประเทศ
กรือวึยรีห์ ตั้งอยู่บนทวีป,ป,ฝ
ทะเลทรายคาลาฮารี ตั้งอยู่บนทวีป, ท,แ
ทะเลทรายคาลาฮารี ตั้งอยู่บนทวีป,ว,อ
ทะเลทรายคาลาฮารี ตั้งอยู่บนทวีป,ีป,ฟร
ทะเลทรายคาลาฮารี ตั้งอยู่บนทวีป,แ,ิกา
ทะเลทรายคาลาฮารี ตั้งอยู่บนทวีป,อ,ใต
ทะเลทรายคาลาฮารี ตั้งอยู่บนทวีป,ฟร,้
ทะเลทรายคาลาฮารี ตั้งอยู่บนทวีป,ิกา,"

"
ราชวงศ์อุมัยยะฮ์ ตั้งอยู่บนทวีป, ท,แ
ราชวงศ์อุมัยยะฮ์ ตั้งอยู่บนทวีป,ว,อ
ราชวงศ์อุมัยยะฮ์ ตั้งอยู่บนทวีป,ีป,ฟร
ราชวงศ์อุมัยยะฮ์ ตั้งอยู่บนทวีป,ย,ิกา
ราชวงศ์อุมัยยะฮ์ ตั้งอยู่บนทวีป,ุ,ใน
ราชวงศ์อุมัยยะฮ์ ตั้งอยู่บนทวีป,โร,ประเทศ
ราชวงศ์อุมัยยะฮ์ ตั้งอยู่บนทวีป,ป,อ
แม่น้ำนีสเตอร์ ตั้งอยู่บนทวีป, ท,อเมร
แม่น้ำนีสเตอร์ ตั้งอยู่บนทวีป,ว,ิกา
แม่น้ำนีสเตอร์ ตั้งอยู่บนทวีป,ีป,ใต
แม่น้ำนีสเตอร์ ตั้งอยู่บนทวีป,ย,้
แม่น้ำนีสเตอร์ ตั้งอยู่บนทวีป,ุ,"

"
แม่น้ำนีสเตอร์ ตั้งอยู่บนทวีป,โร,##
แม่น้ำนีสเตอร์ ตั้งอยู่บนทวีป,ป, อ
จังหวัดนอร์ทบราแบนต์ ตั้งอยู่บนทวีป, ท,อเมร
จังหวัดนอร์ทบราแบนต์ ตั้งอยู่บนทวีป,ว,ิกา
จังหวัดนอร์ทบราแบนต์ ตั้งอยู่บนทวีป,ีป,ใต
จังหวัดนอร์ทบราแบนต์ ตั้งอยู่บนทวีป,ย,้
จังหวัดนอร์ทบราแบนต์ ตั้งอยู่บนทวีป,ุ,"

"
จังหวัดนอร์ทบราแบนต์ ตั้งอยู่บนทวีป,โร,##
จังหวัดนอร์ทบราแบนต์ ตั้งอยู่บนทวีป,ป, ประ
ประเทศอัฟกานิสถาน ตั้งอยู่บนทวีป, ท,เอ
ประเทศอัฟกานิสถาน ตั้งอยู่บนทวีป,ว,เช
ประเทศอัฟกานิสถาน ตั้งอยู่บนทวีป,ีป,ีย
ประเทศอัฟกานิสถาน ตั้งอยู่บนทวีป,เอ, ใน
ประเทศอัฟกานิสถาน ตั้งอยู่บนทวีป,เช,แ
ประเทศอัฟกานิสถาน ตั้งอยู่บนทวีป,ีย,ถ
ประเทศไนเจอร์ ตั้งอยู่บนทวีป, ท,อเมร
ประเทศไนเจอร์ ตั้งอยู่บนทวีป,ว,ิกา
ประเทศไนเจอร์ ตั้งอยู่บนทวีป,ีป,ใต
ประเทศไนเจอร์ ตั้งอยู่บนทวีป,แ,้
ประเทศไนเจอร์ ตั้งอยู่บนทวีป,อ,"

"
ประเทศไนเจอร์ ตั้งอยู่บนทวีป,ฟร,##
ประเทศไนเจอร์ ตั้งอยู่บนทวีป,ิกา, อ
แม่น้ำกัวดัลกิบีร์ ตั้งอยู่บนทวีป, ท,อเมร
แม่น้ำกัวดัลกิบีร์ ตั้งอยู่บนทวีป,ว,ิกา
แม่น้ำกัวดัลกิบีร์ ตั้งอยู่บนทวีป,ีป,ใต
แม่น้ำกัวดัลกิบีร์ ตั้งอยู่บนทวีป,ย,้
แม่น้ำกัวดัลกิบีร์ ตั้งอยู่บนทวีป,ุ,"

"
แม่น้ำกัวดัลกิบีร์ ตั้งอยู่บนทวีป,โร,##
แม่น้ำกัวดัลกิบีร์ ตั้งอยู่บนทวีป,ป, อ
แม่น้ำวิสวา ตั้งอยู่บนทวีป, ท,แ
แม่น้ำวิสวา ตั้งอยู่บนทวีป,ว,อ
แม่น้ำวิสวา ตั้งอยู่บนทวีป,ีป,ฟร
แม่น้ำวิสวา ตั้งอยู่บนทวีป,ย,ิกา
แม่น้ำวิสวา ตั้งอยู่บนทวีป,ุ,ใต
แม่น้ำวิสวา ตั้งอยู่บนทวีป,โร,้
แม่น้ำวิสวา ตั้งอยู่บนทวีป,ป,ของ
รัฐหิมาจัลประเทศ ตั้งอยู่บนทวีป, ท,เอ
รัฐหิมาจัลประเทศ ตั้งอยู่บนทวีป,ว,เช
รัฐหิมาจัลประเทศ ตั้งอยู่บนทวีป,ีป,ีย
รัฐหิมาจัลประเทศ ตั้งอยู่บนทวีป,เอ, ใน
รัฐหิมาจัลประเทศ ตั้งอยู่บนทวีป,เช,พ
รัฐหิมาจัลประเทศ ตั้งอยู่บนทวีป,ีย,ื้
แม่น้ำจัมพัล ตั้งอยู่บนทวีป, ท,ย
แม่น้ำจัมพัล ตั้งอยู่บนทวีป,ว,ุ
แม่น้ำจัมพัล ตั้งอยู่บนทวีป,ีป,โร
