prompt,answer_token,predicted_top1_token
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Percy Snow juega como", linebacker, centro
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Pantelis Kafes juega como", centro, def
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Pantelis Kafes juega como",camp,ensa
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Pantelis Kafes juega como",ista,".
"
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Ruud Gullit juega como", centro, centro
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Ruud Gullit juega como",camp,camp
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Ruud Gullit juega como",ista,ista
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Elrio van Heerden juega como", centro, def
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Elrio van Heerden juega como",camp,ensa
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Elrio van Heerden juega como",ista,".
"
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Lars Ricken juega como", centro, centro
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Lars Ricken juega como",camp,camp
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Lars Ricken juega como",ista,ista
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Tuukka Rask juega como", port, guard
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Tuukka Rask juega como",ero,am
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Karl Mecklenburg juega como", linebacker, def
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Iosif Rotariu juega como", centro, centro
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Iosif Rotariu juega como",camp,camp
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Iosif Rotariu juega como",ista,ista
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, John Navarre juega como", quarterback, centro
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Thurman Munson juega como", receptor, receptor
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Evan Dimas Darmono juega como", centro, futbol
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Evan Dimas Darmono juega como",camp,ista
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Evan Dimas Darmono juega como",ista,".
"
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Jonathan Osorio juega como", centro, centro
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Jonathan Osorio juega como",camp,camp
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Jonathan Osorio juega como",ista,ista
"En su deporte, Patrick Mahomes juega como mariscal de campo.
En su deporte, Manuel Neuer juega como guardameta.
En su deporte, Toni Kroos juega como centrocampista.
En su deporte, Martina Voss-Tecklenburg juega como", centro, entren
