prompt,answer_token,predicted_top1_token
The comparative form of big is, bigger, big
The comparative form of small is, smaller, used
The comparative form of tall is, taller, taller
The comparative form of short is, shorter, used
The comparative form of long is, longer, used
The comparative form of fast is, faster, faster
The comparative form of slow is, slower, used
The comparative form of strong is, stronger, used
The comparative form of weak is, weaker, used
The comparative form of heavy is, heavier, used
The comparative form of light is, lighter, _
The comparative form of old is, older, used
The comparative form of young is, younger, used
The comparative form of high is, higher, high
The comparative form of low is, lower, low
The comparative form of deep is, deeper, used
The comparative form of shallow is, shall, _
The comparative form of shallow is,ower,sh
The comparative form of wide is, wider, w
The comparative form of narrow is, narrower, _
The comparative form of thick is, thicker, th
The comparative form of thin is, thinner, thin
The comparative form of hot is, hotter, hotter
The comparative form of cold is, colder, colder
The comparative form of bright is, brighter, bright
The comparative form of dark is, darker, dark
The comparative form of loud is, louder, used
The comparative form of quiet is, quieter, quiet
The comparative form of happy is, happier, hap
The comparative form of sad is, s, s
The comparative form of sad is,adder,adder
The comparative form of good is, better, the
The comparative form of bad is, worse, used
The comparative form of ugly is, ug, ugly
The comparative form of ugly is,lier,er
The comparative form of clean is, cleaner, used
The comparative form of dirty is, dirt, used
The comparative form of dirty is,ier, to
The comparative form of easy is, easier, easy
The comparative form of simple is, simpler, used
The comparative form of kind is, kind, used
The comparative form of kind is,er, to
The comparative form of mean is, mean, the
The comparative form of mean is,er, mean
The comparative form of brave is, br, br
The comparative form of brave is,aver,aver
The comparative form of smart is, smarter, smart
The comparative form of stupid is, stup, stup
The comparative form of stupid is,ider,ider
The comparative form of wise is, w, w
The comparative form of wise is,iser,iser
The comparative form of happy is, happier, hap
The comparative form of rich is, richer, r
The comparative form of poor is, poorer, the
The comparative form of hot is, hotter, hotter
The comparative form of cold is, colder, colder
The comparative form of sweet is, swe, swe
The comparative form of sweet is,eter,eter
The comparative form of sour is, sour, sour
The comparative form of sour is,er,er
The comparative form of fresh is, fres, the
The comparative form of fresh is,her, fres
The comparative form of stale is, st, st
The comparative form of stale is,aler,aler
The comparative form of cheap is, cheaper, che
The comparative form of safe is, safer, safer
The comparative form of bright is, brighter, bright
The comparative form of dull is, dull, dull
The comparative form of dull is,er,er
The comparative form of happy is, happier, hap
The comparative form of sad is, s, s
The comparative form of sad is,adder,adder
The comparative form of true is, tr, used
The comparative form of true is,uer, to
The comparative form of false is, fal, _
The comparative form of false is,ser,f
The comparative form of rude is, r, rud
The comparative form of rude is,uder," ,"
The comparative form of calm is, cal, calm
The comparative form of calm is,mer,est
The comparative form of strong is, stronger, used
The comparative form of weak is, weaker, used
The comparative form of healthy is, healthier, the
The comparative form of sick is, s, s
The comparative form of sick is,icker,icker
The comparative form of clean is, cleaner, used
The comparative form of dirty is, dirt, used
The comparative form of dirty is,ier, to
The comparative form of fresh is, fres, the
The comparative form of fresh is,her, fres
