prompt,answer_token,predicted_top1_token
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया, प, थ
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,्र,ा।
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,िं, 
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,स,200
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,टन,8
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया, व, म
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,िश,ें
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,्वव, ओ
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,िद,ब
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,्य,ाम
मिशेल ओबामा ने विश्वविद्यालय में अध्ययन किया,ालय,ा
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया, ह, और
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,ार, 
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,्वर,196
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,्ड,8
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया, व, म
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,िश,ें
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,्वव, स
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,िद,्न
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,्य,ात
बिल गेट्स ने विश्वविद्यालय में अध्ययन किया,ालय,क
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया, ह, और
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,ार, 
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,्वर,196
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,्ड,0
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया, व, म
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,िश,ें
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,्वव, ड
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,िद,ॉक
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,्य,्टर
मार्क ज़ुकेरबर्ग ने विश्वविद्यालय में अध्ययन किया,ालय,ेट
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया, ह, और
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,ार, 
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,्वर,200
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,्ड,4
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया, व, म
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,िश,ें
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,्वव, स
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,िद,्न
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,्य,ात
नताली पोर्टमैन ने विश्वविद्यालय में अध्ययन किया,ालय,क
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया, य, थ
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया,ेल,ा।
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया, व, ब
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया,िश,ुश
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया,्वव, न
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया,िद,े
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया,्य, 
जॉर्ज वॉकर बुश ने विश्वविद्यालय में अध्ययन किया,ालय,196
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया, पर, और
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,्ड, 
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,्य,196
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,ू,0
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया, व, म
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,िश,ें
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,्वव, स
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,िद,्न
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,्य,ात
नील आर्मस्ट्रांग ने विश्वविद्यालय में अध्ययन किया,ालय,क
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया, क, और
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,ैल, 
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,िफ,196
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,ोर,0
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,्न, म
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,िय,ें
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,ा, स
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया, व,्न
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,िश,ात
जेम्स फ्रेंको ने विश्वविद्यालय में अध्ययन किया,्वव,क
