prompt,answer_token,predicted_top1_token
"Souvlaki kommt aus dem Land Griechenland.
Pizza kommt aus dem Land", It, It
"Souvlaki kommt aus dem Land Griechenland.
Pizza kommt aus dem Land",alien,alien
"Souvlaki kommt aus dem Land Griechenland.
Sushi kommt aus dem Land", Japan, Japan
"Souvlaki kommt aus dem Land Griechenland.
Taco kommt aus dem Land", Mex, Mex
"Souvlaki kommt aus dem Land Griechenland.
Taco kommt aus dem Land",iko,iko
"Souvlaki kommt aus dem Land Griechenland.
Baguette kommt aus dem Land", Frank, Frank
"Souvlaki kommt aus dem Land Griechenland.
Baguette kommt aus dem Land",reich,reich
"Souvlaki kommt aus dem Land Griechenland.
Poutine kommt aus dem Land", Kan, Russ
"Souvlaki kommt aus dem Land Griechenland.
Poutine kommt aus dem Land",ada,land
"Souvlaki kommt aus dem Land Griechenland.
Paella kommt aus dem Land", Span, Span
"Souvlaki kommt aus dem Land Griechenland.
Paella kommt aus dem Land",ien,ien
"Souvlaki kommt aus dem Land Griechenland.
Chimichurri kommt aus dem Land", Arg, Arg
"Souvlaki kommt aus dem Land Griechenland.
Chimichurri kommt aus dem Land",entin,entin
"Souvlaki kommt aus dem Land Griechenland.
Chimichurri kommt aus dem Land",ien,ien
"Souvlaki kommt aus dem Land Griechenland.
Baklava kommt aus dem Land", Tür, Tür
"Souvlaki kommt aus dem Land Griechenland.
Baklava kommt aus dem Land",ke,ke
"Souvlaki kommt aus dem Land Griechenland.
Baklava kommt aus dem Land",i,i
"Souvlaki kommt aus dem Land Griechenland.
feijoada kommt aus dem Land", Brasil, Brasil
"Souvlaki kommt aus dem Land Griechenland.
feijoada kommt aus dem Land",ien,ien
"Souvlaki kommt aus dem Land Griechenland.
Borschtsch kommt aus dem Land", Ukraine, Russ
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land", Vere, England
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land",in,".
"
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land",ig,P
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land",tes,outine
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land", K, kommt
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land",ön, aus
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land",ig, dem
"Souvlaki kommt aus dem Land Griechenland.
Fish and Chips kommt aus dem Land",reich, Land
"Souvlaki kommt aus dem Land Griechenland.
Dim Sum kommt aus dem Land", Vol, China
"Souvlaki kommt aus dem Land Griechenland.
Dim Sum kommt aus dem Land",ks,".
"
"Souvlaki kommt aus dem Land Griechenland.
Dim Sum kommt aus dem Land",re,F
"Souvlaki kommt aus dem Land Griechenland.
Dim Sum kommt aus dem Land",pub,rik
"Souvlaki kommt aus dem Land Griechenland.
Dim Sum kommt aus dem Land",lik,ad
"Souvlaki kommt aus dem Land Griechenland.
Dim Sum kommt aus dem Land", China,ellen
"Souvlaki kommt aus dem Land Griechenland.
Kimchi kommt aus dem Land", Sü, Korea
"Souvlaki kommt aus dem Land Griechenland.
Kimchi kommt aus dem Land",dk,".
"
