prompt,answer_token,predicted_top1_token
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Monell Chemical Senses Center si trova nella città di", Fil, Philadelphia
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Monell Chemical Senses Center si trova nella città di",ad,".
"
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Monell Chemical Senses Center si trova nella città di",elf,La
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Monell Chemical Senses Center si trova nella città di",ia, sede
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Majorette si trova nella città di", L, Saint
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Majorette si trova nella città di",ione,e
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Ipsos MORI si trova nella città di", Lond, Paris
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Ipsos MORI si trova nella città di",ra,".
"
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Newcomen Society si trova nella città di", Lond, Lond
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Newcomen Society si trova nella città di",ra,ra
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Northeastern University si trova nella città di", Boston, Boston
"La sede di Apple si trova nella città di Cupertino.
La sede di Microsoft si trova nella città di Redmond.
La sede di Tesla si trova nella città di Austin.
La sede di Amazon.com si trova nella città di Seattle.
La sede di Spotify si trova nella città di Stoccolma.
La sede di Rolls-Royce si trova nella città di Londra.
La sede di Heineken si trova nella città di Amsterdam.
La sede di SAP si trova nella città di Walldorf.
La sede di KONE si trova nella città di Espoo.
La sede di Ferrari si trova nella città di Maranello.
La sede di Pappas Restaurants si trova nella città di", Houston, Atlanta
