prompt,answer_token,predicted_top1_token
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
pizza é do país", It, It
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
pizza é do país",ál,ál
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
pizza é do país",ia,ia
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
sushi é do país", Jap, Jap
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
sushi é do país",ão,ão
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
taco é do país", México, México
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
baguete é do país", Fran, Fran
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
baguete é do país",ça,ça
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
poutine é do país", Can, Can
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
poutine é do país",ad,ad
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
poutine é do país",á,á
"Souvlaki é do país Grécia.
Ratatouille é do país França.
Kebab é do país Turquia.
Khachapuri é do país Geórgia.
Brigadeiro é do país Brasil.
Gaspacho é do país Espanha.
Moules-frites é do país Bélgica.
paella é do país", E, E
