prompt,answer_token,predicted_top1_token
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Estados Unidos es", ingl, ingl
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Estados Unidos es",és,és
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Canadá es", ingl, ingl
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Canadá es",és,és
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en México es", español, español
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Brasil es", port, port
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Brasil es",ugu,ugu
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Brasil es",és,és
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Argentina es", español, español
"El idioma oficial en Suecia es sueco.
El idioma oficial en Noruega es noruego.
El idioma oficial en Finlandia es finés.
El idioma oficial en Países Bajos es neerlandés.
El idioma oficial en Suiza es alemán.
El idioma oficial en Bélgica es neerlandés.
El idioma oficial en Austria es alemán.
El idioma oficial en Chile es", español, español
