prompt,answer_token,predicted_top1_token
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है", स, अम
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",ंय,ेर
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",ुक,िक
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",्त,ा
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है", र,".
"
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",ाज,म
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",्य,ुं
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है", अम,ब
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",ेर,ई
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",िक, नगर
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
न्यूयॉर्क नगर देश में स्थित है",ा, द
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
रियो डि जेनेरो देश में स्थित है", ब, ब
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
रियो डि जेनेरो देश में स्थित है",्र,्र
"पैरिस देश में स्थित है फ़्रान्स.
टोक्यो देश में स्थित है जापान.
रियो डि जेनेरो देश में स्थित है",ाज,ाज
