prompt,answer_token,predicted_top1_token
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन ऐडम्स का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन ऐडम्स का चुनाव में हुआ था",१�,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन ऐडम्स का चुनाव में हुआ था",�,५
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन ऐडम्स का चुनाव में हुआ था",९,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन ऐडम्स का चुनाव में हुआ था",६,".
"
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
थामस जेफरसन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
थामस जेफरसन का चुनाव में हुआ था",१�,१�
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
थामस जेफरसन का चुनाव में हुआ था",�,�
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
थामस जेफरसन का चुनाव में हुआ था",०,३
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
थामस जेफरसन का चुनाव में हुआ था",०,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्ज़ मैडिसन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्ज़ मैडिसन का चुनाव में हुआ था",१�,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्ज़ मैडिसन का चुनाव में हुआ था",�,५
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्ज़ मैडिसन का चुनाव में हुआ था",०,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्ज़ मैडिसन का चुनाव में हुआ था",८,".
"
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्स मुनरो का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्स मुनरो का चुनाव में हुआ था",१�,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्स मुनरो का चुनाव में हुआ था",�,५
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्स मुनरो का चुनाव में हुआ था",१,२
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जेम्स मुनरो का चुनाव में हुआ था",६,".
"
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन क्विन्सी एडम्स का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन क्विन्सी एडम्स का चुनाव में हुआ था",१�,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन क्विन्सी एडम्स का चुनाव में हुआ था",�,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन क्विन्सी एडम्स का चुनाव में हुआ था",२,०
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन क्विन्सी एडम्स का चुनाव में हुआ था",४,".
"
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
ऐन्ड्रयू जैकसन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
ऐन्ड्रयू जैकसन का चुनाव में हुआ था",१�,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
ऐन्ड्रयू जैकसन का चुनाव में हुआ था",�,५
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
ऐन्ड्रयू जैकसन का चुनाव में हुआ था",२,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
ऐन्ड्रयू जैकसन का चुनाव में हुआ था",८,".
"
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
मार्टिन वान ब्यूरेन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
मार्टिन वान ब्यूरेन का चुनाव में हुआ था",१�,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
मार्टिन वान ब्यूरेन का चुनाव में हुआ था",�,५
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
मार्टिन वान ब्यूरेन का चुनाव में हुआ था",३,४
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
मार्टिन वान ब्यूरेन का चुनाव में हुआ था",६,".
"
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम हेनरी हैरीसन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम हेनरी हैरीसन का चुनाव में हुआ था",१�,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम हेनरी हैरीसन का चुनाव में हुआ था",�,५
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम हेनरी हैरीसन का चुनाव में हुआ था",४,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम हेनरी हैरीसन का चुनाव में हुआ था",०,".
"
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था",६,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था",८,८
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन एफ़. केनेडी का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन एफ़. केनेडी का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन एफ़. केनेडी का चुनाव में हुआ था",६,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉन एफ़. केनेडी का चुनाव में हुआ था",०,०
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था",६,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रिचर्ड मिल्हौस निक्सन का चुनाव में हुआ था",८,८
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम क्लिंटन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम क्लिंटन का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम क्लिंटन का चुनाव में हुआ था",९,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
विलियम क्लिंटन का चुनाव में हुआ था",२,८
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज वॉकर बुश का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज वॉकर बुश का चुनाव में हुआ था",२०,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज वॉकर बुश का चुनाव में हुआ था",०,८
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज वॉकर बुश का चुनाव में हुआ था",०,८
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
बराक ओबामा का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
बराक ओबामा का चुनाव में हुआ था",२०,२०
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
बराक ओबामा का चुनाव में हुआ था",०,०
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
बराक ओबामा का चुनाव में हुआ था",८,८
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जिमी कार्टर का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जिमी कार्टर का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जिमी कार्टर का चुनाव में हुआ था",७,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जिमी कार्टर का चुनाव में हुआ था",६,१
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रोनाल्ड विलसन रीगन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रोनाल्ड विलसन रीगन का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रोनाल्ड विलसन रीगन का चुनाव में हुआ था",८,८
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
रोनाल्ड विलसन रीगन का चुनाव में हुआ था",०,४
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज हर्बर्ट वॉकर बुश का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज हर्बर्ट वॉकर बुश का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज हर्बर्ट वॉकर बुश का चुनाव में हुआ था",८,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जॉर्ज हर्बर्ट वॉकर बुश का चुनाव में हुआ था",८,४
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जो बाइडेन का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जो बाइडेन का चुनाव में हुआ था",२०,२०
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जो बाइडेन का चुनाव में हुआ था",२,१
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
जो बाइडेन का चुनाव में हुआ था",०,६
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
फ्रैंकलिन डेलानो रूज़वेल्ट का चुनाव में हुआ था", , 
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
फ्रैंकलिन डेलानो रूज़वेल्ट का चुनाव में हुआ था",१९,१९
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
फ्रैंकलिन डेलानो रूज़वेल्ट का चुनाव में हुआ था",३,३
"ड्वाइट डेविड आइज़नहावर का चुनाव में हुआ था १९५२.
फ्रैंकलिन डेलानो रूज़वेल्ट का चुनाव में हुआ था",२,६
