prompt,answer_token,predicted_top1_token
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Brian Johnson est le/la chanteur/chanteuse principal(e) de", AC, AC
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Brian Johnson est le/la chanteur/chanteuse principal(e) de",/,/
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Brian Johnson est le/la chanteur/chanteuse principal(e) de",DC,DC
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Steven Tyler est le/la chanteur/chanteuse principal(e) de", Aeros, Aeros
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Steven Tyler est le/la chanteur/chanteuse principal(e) de",mith,mith
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Chris Martin est le/la chanteur/chanteuse principal(e) de", Cold, Cold
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Chris Martin est le/la chanteur/chanteuse principal(e) de",play,play
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Dave Grohl est le/la chanteur/chanteuse principal(e) de", Foo, Foo
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Dave Grohl est le/la chanteur/chanteuse principal(e) de", Fighters, Fighters
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Axl Rose est le/la chanteur/chanteuse principal(e) de", Guns, Guns
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Axl Rose est le/la chanteur/chanteuse principal(e) de", N, N
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Axl Rose est le/la chanteur/chanteuse principal(e) de",','
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Axl Rose est le/la chanteur/chanteuse principal(e) de", Roses, Roses
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Robert Plant est le/la chanteur/chanteuse principal(e) de", Led, Led
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Robert Plant est le/la chanteur/chanteuse principal(e) de", Ze, Ze
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Robert Plant est le/la chanteur/chanteuse principal(e) de",ppelin,ppelin
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
James Hetfield est le/la chanteur/chanteuse principal(e) de", Metal, Metal
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
James Hetfield est le/la chanteur/chanteuse principal(e) de",lica,lica
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Kurt Cobain est le/la chanteur/chanteuse principal(e) de", Nir, Nir
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Kurt Cobain est le/la chanteur/chanteuse principal(e) de",vana,vana
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Freddie Mercury est le/la chanteur/chanteuse principal(e) de", Queen, Queen
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Anthony Kiedis est le/la chanteur/chanteuse principal(e) de", Red, Red
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Anthony Kiedis est le/la chanteur/chanteuse principal(e) de", Hot, Hot
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Anthony Kiedis est le/la chanteur/chanteuse principal(e) de", Chili, Chili
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Anthony Kiedis est le/la chanteur/chanteuse principal(e) de", Pe, Pe
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Anthony Kiedis est le/la chanteur/chanteuse principal(e) de",ppers,ppers
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Mick Jagger est le/la chanteur/chanteuse principal(e) de", The, The
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Mick Jagger est le/la chanteur/chanteuse principal(e) de", Rolling, Rolling
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Mick Jagger est le/la chanteur/chanteuse principal(e) de", Stones, Stones
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
John Lennon est le/la chanteur/chanteuse principal(e) de", The, The
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
John Lennon est le/la chanteur/chanteuse principal(e) de", Beatles, Beatles
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Jim Morrison est le/la chanteur/chanteuse principal(e) de", The, The
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Jim Morrison est le/la chanteur/chanteuse principal(e) de", Doors, Doors
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Bono est le/la chanteur/chanteuse principal(e) de", U, U
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Bono est le/la chanteur/chanteuse principal(e) de",2,2
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Ozzy Osbourne est le/la chanteur/chanteuse principal(e) de", Black, Oz
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Ozzy Osbourne est le/la chanteur/chanteuse principal(e) de", Sabbath,zy
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Billie Joe Armstrong est le/la chanteur/chanteuse principal(e) de", Green, Green
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Billie Joe Armstrong est le/la chanteur/chanteuse principal(e) de", Day, Day
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Eddie Vedder est le/la chanteur/chanteuse principal(e) de", Pearl, Pearl
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Eddie Vedder est le/la chanteur/chanteuse principal(e) de", Jam, Jam
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Jon Bon Jovi est le/la chanteur/chanteuse principal(e) de", Bon, Bon
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Jon Bon Jovi est le/la chanteur/chanteuse principal(e) de", J, J
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Jon Bon Jovi est le/la chanteur/chanteuse principal(e) de",ovi,ovi
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Don Henley est le/la chanteur/chanteuse principal(e) de", The, The
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Don Henley est le/la chanteur/chanteuse principal(e) de", Eagles, Eagles
"Hayley Williams est le/la chanteur/chanteuse principal(e) de Paramore.
Brandon Flowers est le/la chanteur/chanteuse principal(e) de The Killers.
Debbie Harry est le/la chanteur/chanteuse principal(e) de Blondie.
Liam Gallagher est le/la chanteur/chanteuse principal(e) de", Oasis, Oasis
