prompt,answer_token,predicted_top1_token
El opuesto de amoroso es, od, el
El opuesto de amoroso es,ioso, amor
El opuesto de creador es, destructor, destructor
El opuesto de feliz es, tr, inf
El opuesto de feliz es,iste,el
El opuesto de lleno es, vac, vac
El opuesto de lleno es,ío,ío
El opuesto de valiente es, c, cob
El opuesto de valiente es,obar,ard
El opuesto de valiente es,de,ía
El opuesto de abierto es, cerr, cerr
El opuesto de abierto es,ado,ado
El opuesto de seguro es, pel, el
El opuesto de seguro es,ig, ries
El opuesto de seguro es,ro,go
El opuesto de seguro es,so,.
El opuesto de hermoso es, fe, fe
El opuesto de hermoso es,o,o
El opuesto de amigo es, en, en
El opuesto de amigo es,em,em
El opuesto de amigo es,igo,igo
El opuesto de diurno es, noct, la
El opuesto de diurno es,urn, noche
El opuesto de diurno es,o,","
El opuesto de comprador es, v, el
El opuesto de comprador es,endedor, v
El opuesto de grande es, peque, peque
El opuesto de grande es,ño,ño
El opuesto de viejo es, joven, joven
El opuesto de silencioso es, r, el
El opuesto de silencioso es,uid, que
El opuesto de silencioso es,oso, se
El opuesto de verdadero es, f, f
El opuesto de verdadero es,also,also
El opuesto de rápido es, l, l
El opuesto de rápido es,ento,ento
El opuesto de caliente es, fr, fr
El opuesto de caliente es,ío,ío
El opuesto de bueno es, mal, mal
El opuesto de bueno es,o,o
El opuesto de inicial es, final, el
El opuesto de interior es, exterior, exterior
El opuesto de ganador es, per, per
El opuesto de ganador es,ded,ded
El opuesto de ganador es,or,or
El opuesto de generoso es, ego, a
El opuesto de generoso es,í,var
El opuesto de generoso es,sta,o
El opuesto de claro es, osc, osc
El opuesto de claro es,uro,uro
El opuesto de saludable es, enfer, enfermed
El opuesto de saludable es,mo,ad
El opuesto de limpio es, suc, suc
El opuesto de limpio es,io,io
El opuesto de correcto es, incorrect, incorrect
El opuesto de correcto es,o,o
El opuesto de arriba es, ab, ab
El opuesto de arriba es,ajo,ajo
El opuesto de fuerte es, dé, dé
El opuesto de fuerte es,bil,bil
El opuesto de feliz es, fur, inf
El opuesto de feliz es,ioso,el
El opuesto de alto es, bajo, bajo
El opuesto de sabio es, nec, el
El opuesto de sabio es,io, t
El opuesto de conectado es, descon, descon
El opuesto de conectado es,ect,ect
El opuesto de conectado es,ado,ado
El opuesto de suave es, duro, duro
El opuesto de sí es, no, no
El opuesto de suave es, á, duro
El opuesto de suave es,s,","
El opuesto de suave es,per, y
El opuesto de suave es,o, el
El opuesto de frontal es, tras, la
El opuesto de frontal es,ero, esp
El opuesto de perdonador es, ac, el
El opuesto de perdonador es,us, per
El opuesto de perdonador es,ador,don
El opuesto de simple es, comple, comple
El opuesto de simple es,jo,jo
El opuesto de abierto es, cerr, cerr
El opuesto de abierto es,ado,ado
El opuesto de superficial es, prof, prof
El opuesto de superficial es,undo,undo
El opuesto de sonriente es, fr, la
El opuesto de sonriente es,unc, son
El opuesto de sonriente es,ido,ris
El opuesto de risueño es, ll, la
El opuesto de risueño es,or, tr
El opuesto de risueño es,oso,iste
El opuesto de rápido es, l, l
El opuesto de rápido es,ento,ento
El opuesto de arriba es, ab, ab
El opuesto de arriba es,ajo,ajo
El opuesto de positivo es, neg, neg
El opuesto de positivo es,ativo,ativo
El opuesto de honesto es, des, ment
El opuesto de honesto es,h,iro
El opuesto de honesto es,onest,so
El opuesto de honesto es,o,.
El opuesto de empujador es, tir, el
El opuesto de empujador es,ador, em
El opuesto de mojado es, sec, se
El opuesto de mojado es,о,co
El opuesto de arriba es, fuera, ab
El opuesto de estrecho es, an, el
El opuesto de estrecho es,cho, de
El opuesto de encendido es, ap, ap
El opuesto de encendido es,ag,ag
El opuesto de encendido es,ado,ado
El opuesto de recto es, cur, el
El opuesto de recto es,vo, ob
El opuesto de aceptable es, re, in
El opuesto de aceptable es,ch,ace
El opuesto de aceptable es,az,pt
El opuesto de aceptable es,able,able
El opuesto de construir es, dem, de
El opuesto de construir es,oler,str
El opuesto de suave es, á, duro
El opuesto de suave es,s,","
El opuesto de suave es,per, y
El opuesto de suave es,o, el
El opuesto de incluyente es, excl, el
El opuesto de incluyente es,uy, excl
El opuesto de incluyente es,ente,uy
El opuesto de pasado es, futuro, futuro
El opuesto de llegado es, partido, llegar
El opuesto de inhalante es, ex, el
El opuesto de inhalante es,hal, ex
El opuesto de inhalante es,ante,hal
El opuesto de disperso es, reun, concentr
El opuesto de disperso es,ido,ado
El opuesto de prestado es, prest, el
El opuesto de prestado es,ado, de
El opuesto de separado es, un, un
El opuesto de separado es,ido,ido
El opuesto de llegar es, salir, no
El opuesto de abierto es, cerr, cerr
El opuesto de abierto es,ado,ado
El opuesto de flotante es, h, ent
El opuesto de flotante es,und,ero
El opuesto de flotante es,ido,.
El opuesto de curvo es, rect, plano
El opuesto de curvo es,o,","
El opuesto de disperso es, co, concentr
El opuesto de disperso es,lect,ado
El opuesto de disperso es,o,.
El opuesto de ascendente es, descend, descend
El opuesto de ascendente es,ente,ente
El opuesto de elogioso es, cr, el
El opuesto de elogioso es,ít, des
El opuesto de elogioso es,ico,pect
El opuesto de invisible es, visible, visible
El opuesto de inicial es, final, el
El opuesto de entrante es, sal, el
El opuesto de entrante es,iente, sal
El opuesto de atractivo es, rep, rep
El opuesto de atractivo es,uls,uls
El opuesto de atractivo es,ivo,ivo
El opuesto de generoso es, recept, a
El opuesto de generoso es,ivo,var
El opuesto de encontrado es, perd,:
El opuesto de encontrado es,ido, 
El opuesto de inicial es, final, el
El opuesto de tirando es, em, el
El opuesto de tirando es,pu, de
El opuesto de tirando es,j, lanz
El opuesto de tirando es,ando,ar
El opuesto de creciente es, decre, decre
El opuesto de creciente es,cient,cient
El opuesto de creciente es,e,e
El opuesto de ganador es, der, per
El opuesto de ganador es,rot,ded
El opuesto de ganador es,ado,or
El opuesto de tranquilo es, ag, ag
El opuesto de tranquilo es,it,it
El opuesto de tranquilo es,ado,ado
El opuesto de expandido es, contra, el
El opuesto de expandido es,í, de
El opuesto de expandido es,do, re
El opuesto de ofensivo es, def, def
El opuesto de ofensivo es,ens,ens
El opuesto de ofensivo es,ivo,ivo
El opuesto de ahorrador es, der, el
El opuesto de ahorrador es,ro, consum
El opuesto de ahorrador es,ch,idor
El opuesto de ahorrador es,ador,.
El opuesto de memorable es, ol, ol
El opuesto de memorable es,vid,vid
El opuesto de memorable es,ad,able
El opuesto de memorable es,izo,.
El opuesto de prestador es, pre, el
El opuesto de prestador es,stat, prest
El opuesto de prestador es,ario,ado
El opuesto de juntos es, separ, separ
El opuesto de juntos es,ado,ados
El opuesto de interrogativo es, respons, afirm
El opuesto de interrogativo es,ivo,ativo
El opuesto de cerrado es, abi, abi
El opuesto de cerrado es,erto,erto
El opuesto de horario es, ant, la
El opuesto de horario es,ih, noche
El opuesto de horario es,or,","
El opuesto de horario es,ario, que
El opuesto de colocado es, retir, col
El opuesto de colocado es,ado,ocado
El opuesto de risueño es, sol, la
El opuesto de risueño es,lo, tr
El opuesto de risueño es,z,iste
El opuesto de risueño es,ante,za
El opuesto de lúdico es, labor, el
El opuesto de lúdico es,al, ser
El opuesto de arriba es, ab, ab
El opuesto de arriba es,ajo,ajo
El opuesto de exitoso es, frac, frac
El opuesto de exitoso es,as,aso
El opuesto de exitoso es,ado,.
El opuesto de expandido es, enc, el
El opuesto de expandido es,og, de
El opuesto de expandido es,ido, re
El opuesto de inhalante es, ex, el
El opuesto de inhalante es,hal, ex
El opuesto de inhalante es,ante,hal
El opuesto de bendito es, m, m
El opuesto de bendito es,ald,ald
El opuesto de bendito es,ito,ito
El opuesto de rápido es, gate, l
El opuesto de rápido es,ando,ento
El opuesto de animar es, ab, in
El opuesto de animar es,uch,mov
El opuesto de animar es,ear,il
El opuesto de susurrando es, grit, grit
El opuesto de susurrando es,ando,ar
