prompt,answer_token,predicted_top1_token
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en États-Unis est", anglais, anglais
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Canada est", anglais, anglais
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Mexique est", esp, esp
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Mexique est",agn,agn
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Mexique est",ol,ol
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Brésil est", port, port
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Brésil est",ug,ug
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Brésil est",ais,ais
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Argentine est", esp, esp
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Argentine est",agn,agn
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Argentine est",ol,ol
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Chili est", esp, esp
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Chili est",agn,agn
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Chili est",ol,ol
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Pérou est", esp, esp
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Pérou est",agn,agn
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Pérou est",ol,ol
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Colombie est", esp, esp
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Colombie est",agn,agn
"La langue officielle en Suède est suédois.
La langue officielle en Norvège est norvégien.
La langue officielle en Finlande est finnois.
La langue officielle en Pays-Bas est néerlandais.
La langue officielle en Suisse est allemand.
La langue officielle en Colombie est",ol,ol
