prompt,answer_token,predicted_top1_token
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Drake s'appelle", Sand, Sand
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Drake s'appelle",i,i
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Drake s'appelle", Graham, Graham
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Ariana Grande s'appelle", Joan, Joan
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Ariana Grande s'appelle", Grande, Grande
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Rihanna s'appelle", Monica, Monica
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Rihanna s'appelle", Bra, Bra
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Rihanna s'appelle",ith,ith
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Rihanna s'appelle",wa,wa
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Rihanna s'appelle",ite,ite
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Will Smith s'appelle", Caroline, Caroline
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Will Smith s'appelle", Bright, Bryant
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince William s'appelle", Princess, Car
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince William s'appelle", Diana,ole
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Harry s'appelle", Princess, Diana
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Harry s'appelle", Diana, Spencer
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Franklin D. Roosevelt s'appelle", Sara, Sara
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Franklin D. Roosevelt s'appelle", Ann, Del
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Franklin D. Roosevelt s'appelle", Del,ano
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Franklin D. Roosevelt s'appelle",ano, Roosevelt
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Queen Elizabeth II s'appelle", Queen, Elizabeth
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Queen Elizabeth II s'appelle", Elizabeth, Bow
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Queen Elizabeth II s'appelle", The,es
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Queen Elizabeth II s'appelle", Queen,-L
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Queen Elizabeth II s'appelle", Mother,yon
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Charles, Prince of Wales s'appelle", Queen, Princess
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Charles, Prince of Wales s'appelle", Elizabeth, Diana
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Charles, Prince of Wales s'appelle", II,".
"
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Princess Margaret s'appelle", Queen, The
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Princess Margaret s'appelle", Elizabeth,od
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Princess Margaret s'appelle", The,ora
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Princess Margaret s'appelle", Queen,".
"
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Princess Margaret s'appelle", Mother,La
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Philip s'appelle", Princess, Princess
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Philip s'appelle", Alice, Alice
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Philip s'appelle", of,".
"
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Philip s'appelle", B,La
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Philip s'appelle",atten, m
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Philip s'appelle",berg,ère
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Edward, Earl of Wessex s'appelle", Queen, Sophie
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Edward, Earl of Wessex s'appelle", Elizabeth, Rh
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Edward, Earl of Wessex s'appelle", II,ys
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de King George VI s'appelle", Queen, Elizabeth
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de King George VI s'appelle", Mary, Bow
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince George of Cambridge s'appelle", Kate, Car
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince George of Cambridge s'appelle", Middleton,ole
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Louis of Cambridge s'appelle", Kate, Charlotte
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Prince Louis of Cambridge s'appelle", Middleton,".
"
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Princess Charlotte of Cambridge s'appelle", Kate, Car
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Princess Charlotte of Cambridge s'appelle", Middleton,ole
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Archie Mountbatten-Windsor s'appelle", Meghan, Meghan
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Archie Mountbatten-Windsor s'appelle", Mark, Mark
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Archie Mountbatten-Windsor s'appelle",le,le
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Lilibet 'Lili' Diana Mountbatten-Windsor s'appelle", Meghan, Meghan
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Lilibet 'Lili' Diana Mountbatten-Windsor s'appelle", Mark, Mark
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Lilibet 'Lili' Diana Mountbatten-Windsor s'appelle",le,le
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de J.K. Rowling s'appelle", Anne, Anne
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de J.K. Rowling s'appelle", Vol, Rowling
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de J.K. Rowling s'appelle",ant,".
"
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de J.K. Rowling s'appelle", Rowling,La
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Peter Paul Rubens s'appelle", Maria, Is
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Peter Paul Rubens s'appelle", P,abella
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Peter Paul Rubens s'appelle",yp, Br
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Peter Paul Rubens s'appelle",elin,ant
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Peter Paul Rubens s'appelle",ck,".
"
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Peter Paul Rubens s'appelle",x,La
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Madonna s'appelle", Madonna, Madonna
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Madonna s'appelle", Louise, Cic
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Madonna s'appelle", Fort,cone
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Madonna s'appelle",in,".
"
"La mère de Suri Cruise s'appelle Katie Holmes.
La mère de Michelle Obama s'appelle Marian Robinson.
La mère de Pablo Picasso s'appelle", Maria, Maria
