prompt,answer_token,predicted_top1_token
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Michelle Obama studierte an der Universität", Princeton, Harvard
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Michelle Obama studierte an der Universität", University,".
"
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Bill Gates studierte an der Universität", Harvard, Harvard
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Bill Gates studierte an der Universität", University,".
"
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Mark Zuckerberg studierte an der Universität", Harvard, Harvard
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Mark Zuckerberg studierte an der Universität", University,".
"
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Oprah Winfrey studierte an der Universität", Tennessee, Univers
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Oprah Winfrey studierte an der Universität", State,ität
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Oprah Winfrey studierte an der Universität", University, von
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Emma Watson studierte an der Universität", Brown, Univers
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Emma Watson studierte an der Universität", University,ität
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Natalie Portman studierte an der Universität", Harvard, Harvard
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Natalie Portman studierte an der Universität", University,".
"
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
George W. Bush studierte an der Universität", Yale, Yale
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
George W. Bush studierte an der Universität", University,".
"
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Hillary Clinton studierte an der Universität", Wel, Yale
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Hillary Clinton studierte an der Universität",les,".
"
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Hillary Clinton studierte an der Universität",ley,Bill
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Hillary Clinton studierte an der Universität", College, Clinton
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Neil Armstrong studierte an der Universität", Purdue, Purdue
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Neil Armstrong studierte an der Universität", University,-
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
James Franco studierte an der Universität", University, Univers
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
James Franco studierte an der Universität", of,ität
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
James Franco studierte an der Universität", California, von
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
James Franco studierte an der Universität",",", California
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
James Franco studierte an der Universität", Los,","
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
James Franco studierte an der Universität", Angeles, Los
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Cindy Crawford studierte an der Universität", Northwestern, Univers
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Cindy Crawford studierte an der Universität", University,ität
"Elon Musk studierte an der Universität Universität von Pennsylvania.
Angela Davis studierte an der Universität Universität von Kalifornien, San Diego.
Tim Cook studierte an der Universität Duke-Universität.
Matt Damon studierte an der Universität", Harvard, Harvard
