prompt,answer_token,predicted_top1_token
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
मोड का अंत इस अक्षर से होता है", ड, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
भार का अंत इस अक्षर से होता है", र, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
सुंदर का अंत इस अक्षर से होता है", र, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
पूछन का अंत इस अक्षर से होता है", न, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
विस्तार का अंत इस अक्षर से होता है", र, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
सामन का अंत इस अक्षर से होता है", न, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
कठिन का अंत इस अक्षर से होता है", न, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
कृपय का अंत इस अक्षर से होता है", य, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
जाओ का अंत इस अक्षर से होता है", ओ, 
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
शल्य का अंत इस अक्षर से होता है", य, �
"आग का अंत इस अक्षर से होता है ग.
पहाड़ का अंत इस अक्षर से होता है ड़.
जेली का अंत इस अक्षर से होता है ी.
चाकू का अंत इस अक्षर से होता है ू.
भेड़ का अंत इस अक्षर से होता है ड़.
दर्पण का अंत इस अक्षर से होता है ण.
रात का अंत इस अक्षर से होता है त.
अतीत का अंत इस अक्षर से होता है", त, त
