prompt,answer_token,predicted_top1_token
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Sirius befindet sich im Sternbild", Can, Can
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Sirius befindet sich im Sternbild",is,is
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Sirius befindet sich im Sternbild", Major, Major
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Vega befindet sich im Sternbild", Ly, Ly
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Vega befindet sich im Sternbild",ra,ra
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Arcturus befindet sich im Sternbild", Bo, Bo
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Arcturus befindet sich im Sternbild",ö,ö
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Arcturus befindet sich im Sternbild",tes,tes
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Capella befindet sich im Sternbild", Aur, Aur
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Capella befindet sich im Sternbild",iga,iga
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Procyon befindet sich im Sternbild", Can, Can
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Procyon befindet sich im Sternbild",is,is
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Procyon befindet sich im Sternbild", Minor, Minor
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Altair befindet sich im Sternbild", Aqu, Aqu
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Altair befindet sich im Sternbild",ila,ila
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Aldebaran befindet sich im Sternbild", T, T
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Aldebaran befindet sich im Sternbild",aurus,aurus
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Antares befindet sich im Sternbild", Scor, Scor
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Antares befindet sich im Sternbild",pi,pi
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Antares befindet sich im Sternbild",us,us
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Fomalhaut befindet sich im Sternbild", P, P
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Fomalhaut befindet sich im Sternbild",isc,isc
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Fomalhaut befindet sich im Sternbild",is,is
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Fomalhaut befindet sich im Sternbild", Austr, Austr
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Fomalhaut befindet sich im Sternbild",inus,inus
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Deneb befindet sich im Sternbild", Cy, Cy
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Deneb befindet sich im Sternbild",gn,gn
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Deneb befindet sich im Sternbild",us,us
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Castor befindet sich im Sternbild", Gemini, Gemini
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Mizar befindet sich im Sternbild", U, U
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Mizar befindet sich im Sternbild",rsa,rsa
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Mizar befindet sich im Sternbild", Major, Major
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Dubhe befindet sich im Sternbild", U, U
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Dubhe befindet sich im Sternbild",rsa,rsa
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Dubhe befindet sich im Sternbild", Major, Major
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alcor befindet sich im Sternbild", U, U
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alcor befindet sich im Sternbild",rsa,rsa
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alcor befindet sich im Sternbild", Major, Major
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alphecca befindet sich im Sternbild", Corona, Bo
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alphecca befindet sich im Sternbild", B,ö
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alphecca befindet sich im Sternbild",ore,tes
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alphecca befindet sich im Sternbild",alis,".
"
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Zubenelgenubi befindet sich im Sternbild", Lib, Ser
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Zubenelgenubi befindet sich im Sternbild",ra,pent
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Gacrux befindet sich im Sternbild", Cr, R
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Gacrux befindet sich im Sternbild",ux,etic
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alnair befindet sich im Sternbild", Gr, Car
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Alnair befindet sich im Sternbild",us,ina
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Shaula befindet sich im Sternbild", Scor, Ser
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Shaula befindet sich im Sternbild",pi,p
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Shaula befindet sich im Sternbild",us,ens
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Kaus Australis befindet sich im Sternbild", Sag, Car
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Kaus Australis befindet sich im Sternbild",itt,ina
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Kaus Australis befindet sich im Sternbild",arius,".
"
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Diphda befindet sich im Sternbild", C, Car
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Diphda befindet sich im Sternbild",etus,ina
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Schedar befindet sich im Sternbild", Cass, Car
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Schedar befindet sich im Sternbild",io,ina
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Schedar befindet sich im Sternbild",pe,".
"
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Schedar befindet sich im Sternbild",ia,F
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Mirfak befindet sich im Sternbild", Per, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Mirfak befindet sich im Sternbild",se,".
"
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Mirfak befindet sich im Sternbild",us,Al
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Theta2 Orionis befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Chi1 Orionis befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Gliese 570A befindet sich im Sternbild", Lib, Car
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Gliese 570A befindet sich im Sternbild",ra,ina
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Iota Persei befindet sich im Sternbild", Per, Per
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Iota Persei befindet sich im Sternbild",se,se
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Iota Persei befindet sich im Sternbild",us,us
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Pi3 Orionis befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
23 Librae befindet sich im Sternbild", Lib, Lib
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
23 Librae befindet sich im Sternbild",ra,ra
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Mu Leonis befindet sich im Sternbild", Leo, L
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Theta Persei befindet sich im Sternbild", Per, Per
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Theta Persei befindet sich im Sternbild",se,se
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Theta Persei befindet sich im Sternbild",us,us
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Theta1 Orionis B befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Gliese 581 befindet sich im Sternbild", Lib, F
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Gliese 581 befindet sich im Sternbild",ra,orn
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
83 Leonis A befindet sich im Sternbild", Leo, Leo
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Phi2 Orionis befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Gliese 205 befindet sich im Sternbild", Orion, Car
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Theta1 Orionis C befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Wolf 359 befindet sich im Sternbild", Leo, Can
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Rigel befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
V520 Persei befindet sich im Sternbild", Per, Per
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
V520 Persei befindet sich im Sternbild",se,se
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
V520 Persei befindet sich im Sternbild",us,us
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Betelgeuse befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Iota Orionis befindet sich im Sternbild", Orion, Orion
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Algol befindet sich im Sternbild", Per, Per
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Algol befindet sich im Sternbild",se,se
"Canopus befindet sich im Sternbild Carina.
Achernar befindet sich im Sternbild Eridanus.
Algol befindet sich im Sternbild",us,us
