prompt,answer_token,predicted_top1_token
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Platform Controller Hub fue creado(a) por", Intel, Nintendo
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Shahab-2 fue creado(a) por", Iran, SpaceX
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Infiniti QX fue creado(a) por", Nissan, Inf
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
iPhone 5 fue creado(a) por", Apple, Apple
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Wii Balance Board fue creado(a) por", Nintendo, Nintendo
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Acura TL fue creado(a) por", Honda, Honda
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Lancia 037 fue creado(a) por", Fiat, L
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Windows Server 2003 fue creado(a) por", Microsoft, Microsoft
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
DualShock fue creado(a) por", Sony, Sony
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Mac Pro fue creado(a) por", Apple, Apple
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Game Boy Advance SP fue creado(a) por", Nintendo, Nintendo
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Squad 51 fue creado(a) por", Dodge, Amazon
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
PGM-19 Jupiter fue creado(a) por", Chrysler, SpaceX
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Prince R380 fue creado(a) por", Nissan, Xiaomi
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Monomail fue creado(a) por", Boeing, Mon
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Geo Metro fue creado(a) por", Suzuki, Hyundai
"Kindle fue creado(a) por Amazon.
Echo Dot fue creado(a) por Amazon.
Galaxy S22 fue creado(a) por Samsung.
PlayStation 5 fue creado(a) por Sony.
ChatGPT fue creado(a) por OpenAI.
iPhone 15 fue creado(a) por Apple.
Mi Band 6 fue creado(a) por Xiaomi Inc..
Shahab-1 fue creado(a) por", Iran, Pakistan
