prompt,answer_token,predicted_top1_token
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
isola Pidgeon si trova nel continente", Ant, O
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
isola Pidgeon si trova nel continente",art,ce
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
isola Pidgeon si trova nel continente",ide,ania
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Kryvyj Rih si trova nel continente", Europa, Europa
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Ghiacciaio Howard si trova nel continente", Ant, Ant
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Ghiacciaio Howard si trova nel continente",art,art
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Ghiacciaio Howard si trova nel continente",ide,ide
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Baia di Prydz si trova nel continente", Ant, Ant
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Baia di Prydz si trova nel continente",art,art
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Baia di Prydz si trova nel continente",ide,ide
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Terra di Giorgio V si trova nel continente", Ant, Africa
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Terra di Giorgio V si trova nel continente",art,".
"
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Terra di Giorgio V si trova nel continente",ide,C
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Gabbro Hills si trova nel continente", Ant, Africa
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Gabbro Hills si trova nel continente",art,".
"
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Gabbro Hills si trova nel continente",ide,Mont
"Torre Eiffel si trova nel continente Europa.
Statua della Libertà si trova nel continente America del Nord.
Big Ben si trova nel continente Europa.
Montagna della Tavola si trova nel continente Africa.
Ghiacciaio Rutgers si trova nel continente", Ant, Ant
