prompt,answer_token,predicted_top1_token
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von groß ist", grö, grö
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von groß ist",ßer,ßer
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von klein ist", kle, kle
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von klein ist",iner,iner
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von groß ist", grö, grö
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von groß ist",ßer,ßer
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von kurz ist", kür, kür
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von kurz ist",zer,zer
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von lang ist", l, l
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von lang ist",änger,änger
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von schnell ist", schn, schn
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von schnell ist",eller,eller
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von langsam ist", langs, langs
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von langsam ist",amer,amer
"Die Komparativform von lustig ist lustiger.
Die Komparativform von effizient ist effizienter.
Die Komparativform von nett ist netter.
Die Komparativform von stark ist", st, st
