prompt,answer_token,predicted_top1_token
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Roberto Clemente pratica o esporte de", base, base
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Roberto Clemente pratica o esporte de",bol,bol
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Hank Aaron pratica o esporte de", base, base
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Hank Aaron pratica o esporte de",bol,bol
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
R.A. Dickey pratica o esporte de", base, base
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
R.A. Dickey pratica o esporte de",bol,bol
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Luis Scola pratica o esporte de", bas, bas
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Luis Scola pratica o esporte de",quet,quet
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Luis Scola pratica o esporte de",eb,eb
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Luis Scola pratica o esporte de",ol,ol
"Kylian Mbappé pratica o esporte de futebol.
Shohei Otani pratica o esporte de basebol.
Jayson Tatum pratica o esporte de basquetebol.
Luciana Aymar pratica o esporte de hóquei.
Josh Allen pratica o esporte de futebol americano.
Satchel Paige pratica o esporte de", base, base
