prompt,answer_token,predicted_top1_token
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ถาม คือ", ได, ถ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ถาม คือ",้,าม
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ถาม คือ",ถาม,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เชื่อ คือ", ได, เช
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เชื่อ คือ",้,ื่
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เชื่อ คือ",เช,อ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เชื่อ คือ",ื่,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เชื่อ คือ",อ,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำลาย คือ", ได, ทำ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำลาย คือ",้,ลาย
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำลาย คือ",ทำ,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำลาย คือ",ลาย,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ นำ คือ", ได, น
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ นำ คือ",้น,ำ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ นำ คือ",ำ,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ สร้าง คือ", ได, สร
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ สร้าง คือ",้,้าง
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ สร้าง คือ",สร,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ สร้าง คือ",้าง,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เรียก คือ", ได, เร
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เรียก คือ",้,ียก
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เรียก คือ",เร,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เรียก คือ",ียก,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ จับ คือ", ได, จ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ จับ คือ",้จ,ับ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ จับ คือ",ับ,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เปลี่ยน คือ", ได, เป
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เปลี่ยน คือ",้,ล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เปลี่ยน คือ",เปล,ี่
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เปลี่ยน คือ",ี่,ยน
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เปลี่ยน คือ",ยน,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เลือก คือ", ได, เล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เลือก คือ",้,ือก
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เลือก คือ",เล,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เลือก คือ",ือก,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำความสะอาด คือ", ทำ, ทำ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำความสะอาด คือ",ความ,ความ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำความสะอาด คือ",สะ,สะ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำความสะอาด คือ",อ,อ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำความสะอาด คือ",าด,าด
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำความสะอาด คือ", แล,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำความสะอาด คือ",้ว,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปีน คือ", ป, ป
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปีน คือ",ีน,ีน
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปีน คือ", แล,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปีน คือ",้ว,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปิด คือ", ป, ป
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปิด คือ",ิด,ิด
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปิด คือ", แล,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ปิด คือ",้ว,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ มา คือ", ม, ม
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ มา คือ",า,า
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ มา คือ", แล,แล
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ มา คือ",้ว,้ว
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ร้องไห้ คือ", ร, ร
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ร้องไห้ คือ",้อง,้อง
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ร้องไห้ คือ",ไ,ไ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ร้องไห้ คือ",ห,ห
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ร้องไห้ คือ",้,้
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ตัด คือ", ต, ต
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ตัด คือ",ัด,ัด
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เต้น คือ", เต, เต
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ เต้น คือ",้น,้น
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ตัดสินใจ คือ", ต, ต
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ตัดสินใจ คือ",ัดส,ัดส
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ตัดสินใจ คือ",ิน,ิน
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ตัดสินใจ คือ",ใจ,ใจ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ทำ คือ", ทำ, ทำ
"รูปอดีตของ เริ่ม คือ เริ่มแล้ว.
รูปอดีตของ กัด คือ กัดแล้ว.
รูปอดีตของ เลือดไหล คือ เลือดไหลแล้ว.
รูปอดีตของ เผา คือ เผาแล้ว.
รูปอดีตของ ขับ คือ", ข, ข
