prompt,answer_token,predicted_top1_token
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Universidad Autónoma de Madrid está en el país", España, España
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Raión de Póchep está en el país", Rus, Bi
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Raión de Póchep está en el país",ia,el
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Wanne-Eickel está en el país", Ale, Ale
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Wanne-Eickel está en el país",mania,mania
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Hohenlohe-Langenburg está en el país", Ale, Ale
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Hohenlohe-Langenburg está en el país",mania,mania
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Bastille está en el país", Franc, Franc
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Bastille está en el país",ia,ia
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Raión de Shablýkino está en el país", Rus, Rus
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Raión de Shablýkino está en el país",ia,ia
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Metro de Manila está en el país", Filip, Filip
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Metro de Manila está en el país",inas,inas
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Valdemarsvik está en el país", Sue, Sue
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Valdemarsvik está en el país",cia,cia
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Ozumba está en el país", México, México
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Piper Verlag está en el país", Ale, Ale
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Piper Verlag está en el país",mania,mania
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Attingal está en el país", India, India
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
georgianos está en el país", Azerbai, Georgia
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
georgianos está en el país",y,".
"
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
georgianos está en el país",án,C
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Tehri Garhwal está en el país", India, India
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Eirodziesma está en el país", Let, Let
"Torre Eiffel está en el país Francia.
Estatua de la Libertad está en el país Estados Unidos.
Cristo Redentor está en el país Brasil.
Eirodziesma está en el país",onia,onia
