prompt,answer_token,predicted_top1_token
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John Adams è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John Adams è stato/a eletto/a nel",179,179
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John Adams è stato/a eletto/a nel",6,6
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Thomas Jefferson è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Thomas Jefferson è stato/a eletto/a nel",180,180
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Thomas Jefferson è stato/a eletto/a nel",0,1
"Dwight Eisenhower è stato/a eletto/a nel 1952.
James Madison è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
James Madison è stato/a eletto/a nel",180,180
"Dwight Eisenhower è stato/a eletto/a nel 1952.
James Madison è stato/a eletto/a nel",8,8
"Dwight Eisenhower è stato/a eletto/a nel 1952.
James Monroe è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
James Monroe è stato/a eletto/a nel",181,181
"Dwight Eisenhower è stato/a eletto/a nel 1952.
James Monroe è stato/a eletto/a nel",6,6
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John Quincy Adams è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John Quincy Adams è stato/a eletto/a nel",182,182
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John Quincy Adams è stato/a eletto/a nel",4,4
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Andrew Jackson è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Andrew Jackson è stato/a eletto/a nel",182,182
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Andrew Jackson è stato/a eletto/a nel",8,8
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Martin Van Buren è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Martin Van Buren è stato/a eletto/a nel",183,183
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Martin Van Buren è stato/a eletto/a nel",6,2
"Dwight Eisenhower è stato/a eletto/a nel 1952.
William Henry Harrison è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
William Henry Harrison è stato/a eletto/a nel",184,184
"Dwight Eisenhower è stato/a eletto/a nel 1952.
William Henry Harrison è stato/a eletto/a nel",0,0
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Richard M. Nixon è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Richard M. Nixon è stato/a eletto/a nel",196,196
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Richard M. Nixon è stato/a eletto/a nel",8,8
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John F. Kennedy è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John F. Kennedy è stato/a eletto/a nel",196,196
"Dwight Eisenhower è stato/a eletto/a nel 1952.
John F. Kennedy è stato/a eletto/a nel",0,0
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Richard Nixon è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Richard Nixon è stato/a eletto/a nel",196,196
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Richard Nixon è stato/a eletto/a nel",8,8
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Bill Clinton è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Bill Clinton è stato/a eletto/a nel",199,199
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Bill Clinton è stato/a eletto/a nel",2,2
"Dwight Eisenhower è stato/a eletto/a nel 1952.
George W. Bush è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
George W. Bush è stato/a eletto/a nel",200,200
"Dwight Eisenhower è stato/a eletto/a nel 1952.
George W. Bush è stato/a eletto/a nel",0,0
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Barack Obama è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Barack Obama è stato/a eletto/a nel",200,200
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Barack Obama è stato/a eletto/a nel",8,8
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Jimmy Carter è stato/a eletto/a nel", , 
"Dwight Eisenhower è stato/a eletto/a nel 1952.
Jimmy Carter è stato/a eletto/a nel",197,197
