prompt,answer_token,predicted_top1_token
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
John Adams wurde gewählt im Jahr", , 
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
John Adams wurde gewählt im Jahr",179,179
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
John Adams wurde gewählt im Jahr",6,6
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
Thomas Jefferson wurde gewählt im Jahr", , 
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
Thomas Jefferson wurde gewählt im Jahr",180,180
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
Thomas Jefferson wurde gewählt im Jahr",0,0
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
James Madison wurde gewählt im Jahr", , 
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
James Madison wurde gewählt im Jahr",180,180
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
James Madison wurde gewählt im Jahr",8,8
"Dwight D. Eisenhower wurde gewählt im Jahr 1952.
Theodore Roosevelt wurde gewählt im Jahr 1904.
Woodrow Wilson wurde gewählt im Jahr 1912.
William McKinley wurde gewählt im Jahr 1896.
Herbert Hoover wurde gewählt im Jahr 1928.
Grover Cleveland wurde gewählt im Jahr 1884.
Ulysses S. Grant wurde gewählt im Jahr 1868.
James Monroe wurde gewählt im Jahr", , 
