prompt,answer_token,predicted_top1_token
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de preguntar es", preg, preg
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de preguntar es",unt,unt
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de preguntar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de creer es", cre, cre
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de creer es",y,y
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de creer es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de romper es", rom, rom
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de romper es",pi,pi
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de romper es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de traer es", tr, tr
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de traer es",ajo,ajo
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de construir es", constr, constr
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de construir es",uy,uy
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de construir es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de llamar es", llam, llam
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de llamar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de atrapar es", atr, atr
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de atrapar es",ap,ap
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de atrapar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de cambiar es", camb, camb
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de cambiar es",ió,ió
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de elegir es", elig, eleg
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de elegir es",ió,ió
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de limpiar es", lim, lim
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de limpiar es",pi,pi
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de limpiar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de escalar es", escal, escal
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de escalar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de cerrar es", cerr, cerr
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de cerrar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de venir es", v, v
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de venir es",ino,ino
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de llorar es", ll, ll
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de llorar es",or,or
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de llorar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de cortar es", cort, cort
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de cortar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de bailar es", bail, bail
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de bailar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de decidir es", dec, decid
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de decidir es",idi,í
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de decidir es",ó,".
"
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de hacer es", hizo, hizo
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de conducir es", condu, condu
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de conducir es",je,jo
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de beber es", be, be
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de beber es",bi,bi
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de beber es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de comer es", com, com
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de comer es",ió,ió
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de caer es", c, c
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de caer es",ay,ay
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de caer es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de terminar es", termin, termin
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de terminar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de encontrar es", encontr, encontr
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de encontrar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de volar es", vol, vol
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de volar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de seguir es", sig, sig
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de seguir es",ui,ui
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de seguir es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de olvidar es", ol, ol
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de olvidar es",vid,vid
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de olvidar es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de fruncir es", fr, fr
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de fruncir es",unci,unc
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de fruncir es",ó,ió
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de conseguir es", cons, cons
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de conseguir es",ig,ig
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de conseguir es",ui,ui
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de conseguir es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de dar es", dio, dio
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de ir es", fue, fue
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de odiar es", o, od
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de odiar es",di,ia
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de odiar es",ó,".
"
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de tener es", tu, tu
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de tener es",vo,vo
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de oír es", oy, oy
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de oír es",ó,ó
"El pasado de comenzar es comenzó.
El pasado de morder es mordió.
El pasado de sangrar es sangró.
El pasado de quemar es quemó.
El pasado de ayudar es", ayud, ayud
